%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494450135451581080,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451606694,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451634383,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451657358,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451688946,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451722447,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451741509,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451773589,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451797892,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451823567,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451852762,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451882211,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451906668,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451930141,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451954653,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451978113,0.1,0.0,0.0,0.0,0.0,0.0
1494450135451998441,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452007534,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452050520,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452063640,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452084927,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452112026,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452125583,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452150185,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452164234,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452184889,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452203090,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452229148,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452885913,0.15,0.0,0.0,0.0,0.0,0.0
1494450135478575004,0.15,0.0,0.0,0.0,0.0,0.0
1494450135524747003,0.15,0.0,0.0,0.0,0.0,0.0
1494450135574580607,0.2,0.0,0.0,0.0,0.0,0.0
