%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494450135471170057,0.15,0.0,0.0,0.0,0.0,0.0
1494450135568663620,0.2,0.0,0.0,0.0,0.0,0.0
1494450135668502672,0.2,0.0,0.0,0.0,0.0,0.0
1494450135769076458,0.2,0.0,0.0,0.0,0.0,0.0
1494450135868408795,0.2,0.0,0.0,0.0,0.0,0.0
1494450135969272832,0.2,0.0,0.0,0.0,0.0,0.0
1494450136069140746,0.25,0.0,0.0,0.0,0.0,0.0
1494450136168414098,0.25,0.0,0.0,0.0,0.0,0.0
1494450136268636815,0.25,0.0,0.0,0.0,0.0,0.0
1494450136368529566,0.25,0.0,0.0,0.0,0.0,0.0
1494450136468424319,0.25,0.0,0.0,0.0,0.0,0.0
1494450136568838885,0.25,0.0,0.0,0.0,0.0,0.0
1494450136668630364,0.3,0.0,0.0,0.0,0.0,0.0
1494450136768786567,0.3,0.0,0.0,0.0,0.0,0.0
1494450136868448916,0.3,0.0,0.0,0.0,0.0,0.0
1494450136968919923,0.3,0.0,0.0,0.0,0.0,0.0
1494450137069474342,0.3,0.0,0.0,0.0,0.0,0.0
1494450137168455675,0.3,0.0,0.0,0.0,0.0,0.0
1494450137268964408,0.3,0.0,0.0,0.0,0.0,0.0
1494450137368768291,0.3,0.0,0.0,0.0,0.0,0.0
1494450137468437102,0.3,0.0,0.0,0.0,0.0,0.0
1494450137568912229,0.3,0.0,0.0,0.0,0.0,0.0
1494450137669360004,0.3,0.0,0.0,0.0,0.0,0.0
1494450137768631213,0.3,0.0,0.0,0.0,0.0,0.0
1494450137873169329,0.3,0.0,0.0,0.0,0.0,0.0
1494450137969303212,0.3,0.0,0.0,0.0,0.0,0.0
1494450138068649541,0.3,0.0,0.0,0.0,0.0,0.0
1494450138169182788,0.3,0.0,0.0,0.0,0.0,0.0
1494450138269163143,0.3,0.0,0.0,0.0,0.0,0.0
1494450138368707943,0.3,0.0,0.0,0.0,0.0,0.0
1494450138468792499,0.3,0.0,0.0,0.0,0.0,0.0
1494450138569364871,0.3,0.0,0.0,0.0,0.0,0.0
1494450138668964813,0.3,0.0,0.0,0.0,0.0,0.0
1494450138769093051,0.3,0.0,0.0,0.0,0.0,0.0
1494450138869429913,0.3,0.0,0.0,0.0,0.0,0.0
1494450138968573824,0.3,0.0,0.0,0.0,0.0,0.0
1494450139069126889,0.3,0.0,0.0,0.0,0.0,0.0
1494450139168397878,0.3,0.0,0.0,0.0,0.0,0.0
1494450139269420409,0.3,0.0,0.0,0.0,0.0,0.0
1494450139393137805,0.3,0.0,0.0,0.0,0.0,0.0
1494450139483583248,0.3,0.0,0.0,0.0,0.0,0.0
1494450139568646514,0.3,0.0,0.0,0.0,0.0,0.0
1494450139669624408,0.3,0.0,0.0,0.0,0.0,0.0
1494450139772362389,0.3,0.0,0.0,0.0,0.0,0.0
1494450139870920365,0.3,0.0,0.0,0.0,0.0,0.0
1494450139969523292,0.3,0.0,0.0,0.0,0.0,0.0
1494450140068484913,0.3,0.0,0.0,0.0,0.0,0.0
1494450140168544455,0.3,0.0,0.0,0.0,0.0,0.0
1494450140268604164,0.3,0.0,0.0,0.0,0.0,0.0
1494450140371602653,0.3,0.0,0.0,0.0,0.0,0.0
1494450140469890794,0.3,0.0,0.0,0.0,0.0,0.0
1494450140569622473,0.3,0.0,0.0,0.0,0.0,0.0
1494450140669955124,0.3,0.0,0.0,0.0,0.0,0.0
1494450140768889378,0.3,0.0,0.0,0.0,0.0,0.0
1494450140868938165,0.3,0.0,0.0,0.0,0.0,0.0
1494450140986121084,0.3,0.0,0.0,0.0,0.0,0.0
1494450141069210726,0.3,0.0,0.0,0.0,0.0,0.0
1494450141169076689,0.3,0.0,0.0,0.0,0.0,0.0
1494450141269327518,0.3,0.0,0.0,0.0,0.0,0.0
1494450141369062767,0.3,0.0,0.0,0.0,0.0,0.0
1494450141468831969,0.25,0.0,0.0,0.0,0.0,0.0
1494450141568814174,0.25,0.0,0.0,0.0,0.0,0.0
1494450141669188391,0.2,0.0,0.0,0.0,0.0,0.0
1494450141768722024,0.2,0.0,0.0,0.0,0.0,0.0
1494450141869226353,0.15,0.0,0.0,0.0,0.0,0.0
1494450141969441382,0.15,0.0,0.0,0.0,0.0,0.0
1494450142071454195,0.15,0.0,0.0,0.0,0.0,0.0
1494450142168790549,0.15,0.0,0.0,0.0,0.0,0.0
1494450142269239689,0.2,0.0,0.0,0.0,0.0,0.0
1494450142368777969,0.2,0.0,0.0,0.0,0.0,0.0
1494450142468793269,0.25,0.0,0.0,0.0,0.0,0.0
1494450142569315728,0.25,0.0,0.0,0.0,0.0,0.0
1494450142668945930,0.3,0.0,0.0,0.0,0.0,0.0
1494450142769043436,0.3,0.0,0.0,0.0,0.0,0.0
1494450142868707076,0.3,0.0,0.0,0.0,0.0,0.0
1494450142968866936,0.3,0.0,0.0,0.0,0.0,0.0
1494450143068713922,0.3,0.0,0.0,0.0,0.0,0.0
1494450143168643552,0.3,0.0,0.0,0.0,0.0,0.0
1494450143268723462,0.3,0.0,0.0,0.0,0.0,0.0
1494450143368558041,0.25,0.0,0.0,0.0,0.0,0.0
1494450143468960599,0.25,0.0,0.0,0.0,0.0,0.0
1494450143571136417,0.2,0.0,0.0,0.0,0.0,0.0
1494450143670884300,0.2,0.0,0.0,0.0,0.0,0.0
1494450143772802449,0.15,0.0,0.0,0.0,0.0,0.0
1494450143868558969,0.15,0.0,0.0,0.0,0.0,0.0
1494450143970169039,0.1,0.0,0.0,0.0,0.0,0.0
1494450144069107995,0.1,0.0,0.0,0.0,0.0,0.0
1494450144169316465,0.05,0.0,0.0,0.0,0.0,0.0
1494450144268890254,0.05,0.0,0.0,0.0,0.0,0.0
1494450144368453313,0.05,0.0,0.0,0.0,0.0,0.0
1494450144469027210,0.05,0.0,0.0,0.0,0.0,0.0
1494450144568687924,0.05,0.0,0.0,0.0,0.0,0.0
1494450144668455303,0.05,0.0,0.0,0.0,0.0,0.0
1494450144768714986,0.05,0.0,0.0,0.0,0.0,0.0
1494450144868967507,0.05,0.0,0.0,0.0,0.0,0.0
1494450144968794043,0.05,0.0,0.0,0.0,0.0,0.0
1494450145068663986,0.05,0.0,0.0,0.0,0.0,0.0
1494450145169289565,0.05,0.0,0.0,0.0,0.0,0.0
1494450145268586784,1.38777878078e-17,0.0,0.0,0.0,0.0,0.0
1494450145368882356,1.38777878078e-17,0.0,0.0,0.0,0.0,0.0
1494450145469522162,1.38777878078e-17,0.0,0.0,0.0,0.0,0.0
1494450145568658537,1.38777878078e-17,0.0,0.0,0.0,0.0,0.0
1494450145668591439,1.38777878078e-17,0.0,0.0,0.0,0.0,0.0
1494450145768748490,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450145868582997,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450145968953545,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450146069202115,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450146168747413,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146268712673,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146369000089,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146468660511,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146569106755,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146669053085,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450146769232217,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450146868676010,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450146968733589,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147068777370,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147168976149,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147268607681,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147368926091,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147469134270,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147568679279,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147668677509,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147769382899,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147873003062,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450147972693920,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450148068800247,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.99
1494450148169226330,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148271129895,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148368885841,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148468777861,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148568622236,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148668919867,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.66
1494450148768379516,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450148868497031,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450148968743096,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450149068941170,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450149169192123,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450149268894933,1.38777878078e-17,0.0,0.0,0.0,0.0,-0.33
1494450149368605538,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450149469254266,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450149568808079,1.38777878078e-17,0.0,0.0,0.0,0.0,0.33
1494450149668603330,1.38777878078e-17,0.0,0.0,0.0,0.0,0.33
1494450149768600832,1.38777878078e-17,0.0,0.0,0.0,0.0,0.33
1494450149868849237,1.38777878078e-17,0.0,0.0,0.0,0.0,0.33
1494450149968488333,1.38777878078e-17,0.0,0.0,0.0,0.0,0.33
1494450150068549914,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150168276793,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150268504083,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150368667344,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150468827478,1.38777878078e-17,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150568461896,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150669610627,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150769032184,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150877123090,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450150968562035,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151074150059,0.2,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151170827841,0.25,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151268956697,0.25,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151368411078,0.3,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151468636107,0.3,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151568514430,0.3,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151668413061,0.35,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151768326208,0.35,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151868529485,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450151968801301,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152071307196,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152170094286,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152272641919,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152368806360,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152470053563,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152572025654,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152669508349,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
1494450152768503462,0.4,0.0,0.0,0.0,0.0,1.11022302463e-16
