%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494450135451587903,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451608306,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451635683,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451658575,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451693650,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451716923,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451746786,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451774923,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451801442,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451824084,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451858325,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451883067,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451913455,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451932097,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451954547,0.05,0.0,0.0,0.0,0.0,0.0
1494450135451979199,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452000284,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452011185,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452027820,0.1,0.0,0.0,0.0,0.0,0.0
1494450135452051765,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452065346,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452088605,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452111822,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452127652,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452149612,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452164975,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452187661,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452203752,0.15,0.0,0.0,0.0,0.0,0.0
1494450135452231825,0.15,0.0,0.0,0.0,0.0,0.0
1494450135478575008,0.15,0.0,0.0,0.0,0.0,0.0
1494450135524899391,0.15,0.0,0.0,0.0,0.0,0.0
1494450135574580611,0.2,0.0,0.0,0.0,0.0,0.0
