%time,field.data
1494450135450495845,{ AA 55 4D 01 0F E4 CC 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 10 06 75 07 6F 06 06 02 00 00 0D 0E B2 06 9D FF EB FF BF FF 9B FF E2 FF CB FF 10 10 00 00 ED 0F E3 0F E3 0F EE 0F ED 0F 00 00 00 00 39 }
1494450135450661905,{ AA 55 4D 01 0F F8 CC 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 13 06 71 07 71 06 06 02 00 00 0D 0E B4 06 95 FF E0 FF CC FF 93 FF E4 FF C5 FF 10 10 00 00 F0 0F EB 0F DD 0F E7 0F EE 0F 00 00 00 00 6B }
1494450135450685441,{ AA 55 4D 01 0F 0C CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 13 06 71 07 71 06 06 02 00 00 0D 0E B6 06 94 FF E5 FF BC FF 92 FF E3 FF B5 FF 10 10 00 00 E7 0F EF 0F E2 0F E8 0F F1 0F 00 00 00 00 A2 }
1494450135450695946,{ AA 55 4D 01 0F 20 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 16 06 70 07 70 06 06 02 00 00 0D 0E B8 06 8E FF E2 FF B4 FF 8A FF E3 FF BA FF 10 10 00 00 EE 0F EC 0F E3 0F E1 0F F0 0F 00 00 00 00 84 }
1494450135450714242,{ AA 55 4D 01 0F 34 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 16 06 70 07 70 06 06 02 00 00 0D 0E BA 06 87 FF E2 FF C2 FF 85 FF E1 FF C3 FF 10 10 00 00 E7 0F EF 0F E8 0F DE 0F EF 0F 00 00 00 00 B8 }
1494450135450725068,{ AA 55 4D 01 0F 48 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 14 06 70 07 6F 06 06 02 00 00 0D 0E BC 06 84 FF E4 FF BF FF 8B FF E9 FF B9 FF 10 10 00 00 EC 0F ED 0F F2 0F E0 0F EE 0F 00 00 00 00 F7 }
1494450135450734801,{ AA 55 53 01 0F 5C CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 14 06 70 07 73 06 06 02 00 00 0D 14 BE 09 97 FF EC FF B4 FF 9F FF ED FF B3 FF 9F FF F0 FF B7 FF 10 10 00 00 E6 0F F0 0F F3 0F E3 0F EE 0F 00 00 00 00 CE }
1494450135450744202,{ AA 55 4D 01 0F 70 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 16 06 71 07 73 06 06 02 00 00 0D 0E C1 06 9B FF F3 FF C0 FF 98 FF F1 FF C7 FF 10 10 00 00 E7 0F EC 0F ED 0F E6 0F F0 0F 00 00 00 00 A2 }
1494450135450777750,{ AA 55 4D 01 0F 84 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 16 06 71 07 71 06 06 02 00 00 0D 0E C3 06 97 FF ED FF C3 FF 95 FF EB FF B9 FF 10 10 00 00 E4 0F EC 0F F0 0F F0 0F EF 0F 00 00 00 00 39 }
1494450135450785747,{ AA 55 4D 01 0F 98 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 15 06 71 07 72 06 06 02 00 00 0D 0E C5 06 95 FF EA FF B1 FF 96 FF E8 FF B3 FF 10 10 00 00 E8 0F ED 0F F1 0F F7 0F EF 0F 00 00 00 00 55 }
1494450135450806133,{ AA 55 4D 01 0F AC CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 15 06 70 07 72 06 06 02 00 00 0D 0E C7 06 98 FF E5 FF B9 FF 9B FF E4 FF BE FF 10 10 00 00 E6 0F F2 0F ED 0F F2 0F ED 0F 00 00 00 00 6E }
1494450135450864102,{ AA 55 4D 01 0F C0 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 19 06 70 07 6E 06 06 02 00 00 0D 0E C9 06 9E FF E4 FF BF FF 9D FF E6 FF C0 FF 10 10 00 00 EA 0F F0 0F F2 0F FA 0F EF 0F 00 00 00 00 7C }
1494450135450869991,{ AA 55 4D 01 0F D4 CD 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 19 06 70 07 6E 06 06 02 00 00 0D 0E CB 06 99 FF EB FF C0 FF 95 FF F0 FF BF FF 10 10 00 00 E4 0F EB 0F EC 0F F8 0F EF 0F 00 00 00 00 75 }
