%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.bumper,field.wheel_drop,field.cliff,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm,field.buttons,field.charger,field.battery,field.bottom0,field.bottom1,field.bottom2,field.current0,field.current1,field.over_current,field.digital_input,field.analog_input0,field.analog_input1,field.analog_input2,field.analog_input3
1494450135450770275,120,1494450133515674721,,52452,0,0,0,43654,8456,0,0,0,0,156,1552,1909,1647,0,0,0,0,4077,4067,4067,4078
1494450135450777644,121,1494450133535769707,,52472,0,0,0,43654,8456,0,0,0,0,156,1555,1905,1649,0,0,0,0,4080,4075,4061,4071
1494450135450793007,122,1494450133557082766,,52492,0,0,0,43654,8456,0,0,0,0,156,1555,1905,1649,0,0,0,0,4071,4079,4066,4072
1494450135450827676,123,1494450133575701266,,52512,0,0,0,43654,8456,0,0,0,0,156,1558,1904,1648,0,0,0,0,4078,4076,4067,4065
1494450135450836779,124,1494450133595678628,,52532,0,0,0,43654,8456,0,0,0,0,156,1558,1904,1648,0,0,0,0,4071,4079,4072,4062
1494450135450843076,125,1494450133615784531,,52552,0,0,0,43654,8456,0,0,0,0,156,1556,1904,1647,0,0,0,0,4076,4077,4082,4064
1494450135450852093,126,1494450133636737009,,52572,0,0,0,43654,8456,0,0,0,0,156,1556,1904,1651,0,0,0,0,4070,4080,4083,4067
1494450135450856944,127,1494450133657669946,,52592,0,0,0,43654,8456,0,0,0,0,156,1558,1905,1651,0,0,0,0,4071,4076,4077,4070
1494450135450866772,128,1494450133676252863,,52612,0,0,0,43654,8456,0,0,0,0,156,1558,1905,1649,0,0,0,0,4068,4076,4080,4080
1494450135450872448,129,1494450133695839354,,52632,0,0,0,43654,8456,0,0,0,0,156,1557,1905,1650,0,0,0,0,4072,4077,4081,4087
1494450135450992138,130,1494450133716830499,,52652,0,0,0,43654,8456,0,0,0,0,156,1557,1904,1650,0,0,0,0,4070,4082,4077,4082
1494450135450999813,131,1494450133735641080,,52672,0,0,0,43654,8456,0,0,0,0,156,1561,1904,1646,0,0,0,0,4074,4080,4082,4090
1494450135451008515,132,1494450133755838440,,52692,0,0,0,43654,8456,0,0,0,0,156,1561,1904,1646,0,0,0,0,4068,4075,4076,4088
1494450135451014809,133,1494450133775890760,,52712,0,0,0,43654,8456,0,0,0,0,156,1555,1903,1645,0,0,0,0,4067,4073,4077,4083
1494450135451173851,134,1494450133795940872,,52732,0,0,0,43654,8456,0,0,0,0,156,1552,1906,1645,0,0,0,0,4069,4071,4073,4081
