%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2
1494450135451498752,0,1494450133937114271,dock_ir_link,0,0,0
1494450135451509201,1,1494450133956684845,dock_ir_link,0,0,0
1494450135451515449,2,1494450133976655499,dock_ir_link,0,0,0
1494450135451532191,3,1494450133996576570,dock_ir_link,0,0,0
1494450135451545573,4,1494450134016760223,dock_ir_link,0,0,0
1494450135451552791,5,1494450134038872524,dock_ir_link,0,0,0
1494450135451564107,6,1494450134056701739,dock_ir_link,0,0,0
1494450135451574630,7,1494450134077043473,dock_ir_link,0,0,0
1494450135451591222,8,1494450134096798254,dock_ir_link,0,0,0
1494450135451604121,9,1494450134116663409,dock_ir_link,0,0,0
1494450135451615718,10,1494450134136613022,dock_ir_link,0,0,0
1494450135451622419,11,1494450134156999839,dock_ir_link,0,0,0
1494450135451629393,12,1494450134176618288,dock_ir_link,0,0,0
1494450135451646558,13,1494450134197589600,dock_ir_link,0,0,0
1494450135451655707,14,1494450134216781344,dock_ir_link,0,0,0
1494450135451678351,15,1494450134236579083,dock_ir_link,0,0,0
1494450135451689001,16,1494450134257342564,dock_ir_link,0,0,0
1494450135451702273,17,1494450134276863680,dock_ir_link,0,0,0
1494450135451712039,18,1494450134296587462,dock_ir_link,0,0,0
1494450135451727866,19,1494450134316587449,dock_ir_link,0,0,0
1494450135451736750,20,1494450134336537520,dock_ir_link,0,0,0
1494450135451743900,21,1494450134356902087,dock_ir_link,0,0,0
1494450135451772350,22,1494450134378970472,dock_ir_link,0,0,0
1494450135451788558,23,1494450134397575930,dock_ir_link,0,0,0
1494450135451797540,24,1494450134416918757,dock_ir_link,0,0,0
1494450135451811553,25,1494450134436594622,dock_ir_link,0,0,0
1494450135451820207,26,1494450134456608317,dock_ir_link,0,0,0
1494450135451832638,27,1494450134477947167,dock_ir_link,0,0,0
1494450135451841836,28,1494450134496934622,dock_ir_link,0,0,0
1494450135451852336,29,1494450134518601594,dock_ir_link,0,0,0
1494450135451865364,30,1494450134537380259,dock_ir_link,0,0,0
1494450135451874618,31,1494450134557696827,dock_ir_link,0,0,0
1494450135451888977,32,1494450134577528440,dock_ir_link,0,0,0
1494450135451898937,33,1494450134597500386,dock_ir_link,0,0,0
1494450135451907582,34,1494450134617615997,dock_ir_link,0,0,0
1494450135451923075,35,1494450134637519444,dock_ir_link,0,0,0
1494450135451938900,36,1494450134657596847,dock_ir_link,0,0,0
1494450135451945111,37,1494450134677711125,dock_ir_link,0,0,0
1494450135451962238,38,1494450134697540030,dock_ir_link,0,0,0
