%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494449915487847533,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915536915446,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915587137292,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915637787739,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915691460907,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915736887763,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915789772999,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915837787156,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915887880607,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915940789035,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915988619993,0.0,0.0,0.0,0.0,0.0,-0.33
1494449916037442894,0.0,0.0,0.0,0.0,0.0,-0.33
1494449916088386515,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916137280571,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916187126110,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916238656199,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916287480964,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916341126815,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916387263071,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916437815291,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916486898520,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916540078439,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916587794284,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916637413169,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916687773203,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916736867277,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916786649965,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916836873423,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916886473137,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916937344899,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916987273625,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917037199066,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917087448767,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917137086953,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917188981850,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917237164304,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917286840723,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917336866286,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917387208158,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917437097530,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917486878863,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917537060118,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917598836897,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917637071396,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917686864025,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917739691815,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917789384495,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917837051244,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917887431966,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917937252781,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917987037424,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918037049260,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918087593360,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918138032287,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918187365390,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918444278722,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918444301182,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444308955,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444319647,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444327242,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918496065471,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918545711838,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918634493207,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918646826509,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918691245224,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918739668326,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918788850680,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918838186460,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918887485829,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918937028302,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918987953234,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919038000467,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919087719486,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919137164399,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919187786965,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919237102678,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919288140282,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919337011632,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919398290413,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919438015059,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919497139962,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
