,labels,oriw,orix,oriy,oriz,posex,posey
1,1,1,0,0,0,0,0
2,1,1,0,0,0,0,0
3,1,1,0,0,0,0,0
4,1,1,0,0,0,0,0
5,1,1,0,0,0,0,0
6,1,1,0,0,0,0,0
7,1,1,0,0,0,0,0
8,1,1,0,0,0,0,0
9,1,1,0,0,0,0,0
10,1,1,0,0,0,0,0
11,1,1,0,0,0,0,0
12,1,1,0,0,0,0,0
13,1,1,0,0,0,0,0
14,1,1,0,0,0,0,0
15,1,1,0,0,0,0,0
16,1,1,0,0,0,0,0
17,1,1,0,0,0,0,0
18,1,1,0,0,0,0,0
19,1,1,0,0,0,0,0
20,1,1,0,0,0,0,0
21,1,1,0,0,0,0,0
22,1,1,0,0,0,0,0
23,1,1,0,0,0,0,0
24,1,1,0,0,0,0,0
25,1,1,0,0,0,0,0
26,1,1,0,0,0,0,0
27,1,1,0,0,0,0,0
28,1,1,0,0,0,0,0
29,1,1,0,0,0,0,0
30,1,1,0,0,0,0,0
31,1,1,0,0,0,0,0
32,1,1,0,0,0,0,0
33,1,1,0,0,0,0,0
34,1,1,0,0,0,0,0
35,1,1,0,0,0,0,0
36,1,0.9999999962,0,0,-8.72664624889E-005,0.0003411684,0
37,1,0.9999999962,0,0,-8.72664624889E-005,0.0011514432,-1.41419637178E-007
38,1,0.9999999962,0,0,-8.72664624889E-005,0.0015352576,-2.08407886367E-007
39,1,0.9999999962,0,0,-8.72664624889E-005,0.0018764259,-0.000000268
40,1,0.9999999962,0,0,-8.72664624889E-005,0.0022602403,-3.34941245947E-007
41,1,0.9999999657,0,0,-0.0002617994,0.0026440547,-4.01929495136E-007
42,1,0.9999999048,0,0,-0.0004363323,0.0031984532,-6.922118965E-007
43,1,0.9999998134,0,0,-0.0006108652,0.0037954976,-1.21323154893E-006
44,1,0.9999997563,0,0,-0.0006981316,0.0042646037,-1.78635309678E-006
45,1,0.9999996916,0,0,-0.0007853981,0.0046484178,-2.32225891888E-006
46,1,0.9999997563,0,0,-0.0006981316,0.0049895857,-2.85816469474E-006
47,1,0.9999998629,0,0,-0.0005235988,0.0054160457,-3.45361560819E-006
48,1,0.9999999048,0,0,-0.0004363323,0.0058851519,-3.94486268162E-006
49,1,0.9999999048,0,0,-0.0004363323,0.0063969043,-4.39145095513E-006
50,1,0.9999999048,0,0,-0.0004363323,0.0068233646,-4.76360784973E-006
51,1,0.9999999391,0,0,-0.0003490658,0.0071218867,-5.02411767594E-006
52,1,0.9999999657,0,0,-0.0002617994,0.0075483471,-5.32184320522E-006
53,1,0.9999999848,0,0,-0.0001745329,0.0081027456,-5.61212560659E-006
54,1,0.9999999848,0,0,-0.0001745329,0.0086144981,-5.79076093504E-006
55,1,0.9999999657,0,0,-0.0002617994,0.0090409585,-5.93962370875E-006
56,1,0.9999999391,0,0,-0.0003490658,0.0094247728,-6.14058844815E-006
57,1,0.9999999048,0,0,-0.0004363323,0.0098085871,-6.4085414245E-006
58,1,0.9999998629,0,0,-0.0005235988,0.0103203395,-6.85512969802E-006
59,1,0.9999997563,0,0,-0.0006981316,0.0108320917,-0.000007391
60,1,0.9999996192,0,0,-0.0008726645,0.0113011978,-0.000008046
61,1,0.9999994517,0,0,-0.0010471974,0.0117276576,-8.79034510688E-006
62,1,0.9999993565,0,0,-0.0011344638,0.0122820549,-9.95147391651E-006
63,1,0.9999992537,0,0,-0.0012217302,0.0127938061,-1.11126025788E-005
64,1,0.9999991433,0,0,-0.0013089966,0.013390849,-1.25714563391E-005
65,1,0.9999988996,0,0,-0.0014835293,0.0139452456,-1.40228667542E-005
66,1,0.9999988996,0,0,-0.0014835293,0.0144569959,-1.5541264849E-005
67,1,0.9999990252,0,0,-0.0013962629,0.015011392,-1.71861961184E-005
68,1,0.9999992537,0,0,-0.0012217302,0.0156084343,-1.88534570509E-005
69,1,0.9999993565,0,0,-0.0011344638,0.0161628313,-2.02081069711E-005
70,1,0.9999995393,0,0,-0.0009599309,0.0167172284,-0.000021466
71,1,0.9999997563,0,0,-0.0006981316,0.0181245453,-2.41678540932E-005
72,1,0.9999998134,0,0,-0.0006108652,0.0194465713,-2.60137519249E-005
73,1,0.9999997563,0,0,-0.0006981316,0.0210671198,-2.79936263629E-005
74,1,0.9999996916,0,0,-0.0007853981,0.0224744379,-2.99586143773E-005
75,1,0.9999991433,0,0,-0.0013089966,0.0237111717,-3.19012728147E-005
76,1,0.9999986254,0,0,-0.001658062,0.024819965,-3.48040936451E-005
77,1,0.9999981571,0,0,-0.001919861,0.0259714019,-3.86224168701E-005
78,1,0.9999981571,0,0,-0.001919861,0.0273360652,-4.38623737352E-005
