%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527326066808853,0.05,0.0,0.0,0.0,0.0,0.0
1494527326122939839,0.05,0.0,0.0,0.0,0.0,0.0
1494527326162772161,0.05,0.0,0.0,0.0,0.0,0.0
1494527326211317241,0.05,0.0,0.0,0.0,0.0,0.0
1494527326260480585,0.05,0.0,0.0,0.0,0.0,0.0
1494527326311526852,0.05,0.0,0.0,0.0,0.0,0.0
1494527326360631179,0.1,0.0,0.0,0.0,0.0,0.0
1494527326416695631,0.1,0.0,0.0,0.0,0.0,0.0
1494527326466397682,0.1,0.0,0.0,0.0,0.0,0.0
1494527326514524106,0.1,0.0,0.0,0.0,0.0,0.0
1494527326561997830,0.1,0.0,0.0,0.0,0.0,0.0
1494527326611137330,0.1,0.0,0.0,0.0,0.0,0.0
1494527326661798737,0.1,0.0,0.0,0.0,0.0,0.0
1494527326760405633,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873255664,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873266649,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873275943,0.15,0.0,0.0,0.0,0.0,0.0
1494527326911263637,0.15,0.0,0.0,0.0,0.0,0.0
1494527326960797857,0.2,0.0,0.0,0.0,0.0,0.0
1494527327010996145,0.2,0.0,0.0,0.0,0.0,0.0
1494527327062034554,0.2,0.0,0.0,0.0,0.0,0.0
1494527327113066729,0.2,0.0,0.0,0.0,0.0,0.0
1494527327164091308,0.2,0.0,0.0,0.0,0.0,0.0
1494527327212600579,0.2,0.0,0.0,0.0,0.0,0.0
1494527327260490423,0.2,0.0,0.0,0.0,0.0,0.0
1494527327311129340,0.2,0.0,0.0,0.0,0.0,0.0
1494527327360847125,0.2,0.0,0.0,0.0,0.0,0.0
1494527327410790644,0.2,0.0,0.0,0.0,0.0,0.0
1494527327464088657,0.2,0.0,0.0,0.0,0.0,0.0
1494527327510837829,0.2,0.0,0.0,0.0,0.0,0.0
1494527327560660233,0.25,0.0,0.0,0.0,0.0,0.0
1494527327610929731,0.25,0.0,0.0,0.0,0.0,0.0
1494527327661153649,0.25,0.0,0.0,0.0,0.0,0.0
1494527327710836204,0.25,0.0,0.0,0.0,0.0,0.0
1494527327770462326,0.25,0.0,0.0,0.0,0.0,0.0
1494527327811812707,0.25,0.0,0.0,0.0,0.0,0.0
1494527327860768061,0.25,0.0,0.0,0.0,0.0,0.0
1494527327912747653,0.25,0.0,0.0,0.0,0.0,0.0
1494527327960681307,0.25,0.0,0.0,0.0,0.0,0.0
1494527328011232012,0.25,0.0,0.0,0.0,0.0,0.0
1494527328063892527,0.25,0.0,0.0,0.0,0.0,0.0
1494527328110866279,0.25,0.0,0.0,0.0,0.0,0.0
1494527328166066659,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428396453,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428404909,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428481350,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428538219,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428566740,0.25,0.0,0.0,0.0,0.0,0.0
1494527328460815798,0.3,0.0,0.0,0.0,0.0,0.0
1494527328511689873,0.3,0.0,0.0,0.0,0.0,0.0
1494527328568726898,0.3,0.0,0.0,0.0,0.0,0.0
1494527328611046847,0.3,0.0,0.0,0.0,0.0,0.0
1494527328660960021,0.3,0.0,0.0,0.0,0.0,0.0
1494527328712053843,0.3,0.0,0.0,0.0,0.0,0.0
1494527328763837439,0.3,0.0,0.0,0.0,0.0,0.0
1494527328811671516,0.3,0.0,0.0,0.0,0.0,0.0
1494527328860939768,0.3,0.0,0.0,0.0,0.0,-0.33
1494527328922146572,0.3,0.0,0.0,0.0,0.0,-0.33
1494527328962085507,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329012451257,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329060977199,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329110969947,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329161097366,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329212311753,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329267237437,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329311254128,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329361009784,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329410715244,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329461116568,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329510498020,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329561019025,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329610721652,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329662924997,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329712035422,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329761096047,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329818109000,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329860708159,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329910789516,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329962971825,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330010813160,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330060767968,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330111745213,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330168066377,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330212446379,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330261282593,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330314947541,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330360625827,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330411002541,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330463053512,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330511628593,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330564288220,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330611754705,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330662936723,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330712621669,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330764621284,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330810939553,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330870226071,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330911228492,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330965257418,0.3,0.0,0.0,0.0,0.0,-0.66
1494527331011941685,0.3,0.0,0.0,0.0,0.0,-0.66
1494527331062045342,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331112582421,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331165843883,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331225176164,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331261096098,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331310711817,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331364038441,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331419358723,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331466186182,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331512361898,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331581114210,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331611921506,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331731278883,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331742381857,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331762621826,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331812453823,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331865709194,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331910936940,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331962714540,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332013722134,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332068048352,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332112163793,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332162571004,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332211300142,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332262270602,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332311218543,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332365657243,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332411181050,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332465208988,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332510903246,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332572358801,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332610618989,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332661153994,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332710782329,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332761216592,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332810760430,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332860822605,0.3,0.0,0.0,0.0,0.0,0.0
1494527332911827826,0.3,0.0,0.0,0.0,0.0,0.0
1494527332961185624,0.3,0.0,0.0,0.0,0.0,0.0
1494527333012914669,0.3,0.0,0.0,0.0,0.0,0.0
1494527333060888230,0.3,0.0,0.0,0.0,0.0,0.0
1494527333113086346,0.3,0.0,0.0,0.0,0.0,0.0
1494527333161320641,0.3,0.0,0.0,0.0,0.0,0.0
1494527333211806137,0.3,0.0,0.0,0.0,0.0,0.0
1494527333261418245,0.3,0.0,0.0,0.0,0.0,0.0
1494527333310692902,0.3,0.0,0.0,0.0,0.0,0.0
1494527333361560436,0.35,0.0,0.0,0.0,0.0,0.0
1494527333411910118,0.35,0.0,0.0,0.0,0.0,0.0
1494527333461012968,0.35,0.0,0.0,0.0,0.0,0.0
1494527333513266817,0.35,0.0,0.0,0.0,0.0,0.0
1494527333561206022,0.4,0.0,0.0,0.0,0.0,0.0
1494527333611680214,0.4,0.0,0.0,0.0,0.0,0.0
1494527333661102449,0.4,0.0,0.0,0.0,0.0,0.0
1494527333710468247,0.4,0.0,0.0,0.0,0.0,0.0
1494527333760968439,0.45,0.0,0.0,0.0,0.0,0.0
1494527333811923997,0.45,0.0,0.0,0.0,0.0,0.0
1494527333861452396,0.45,0.0,0.0,0.0,0.0,0.0
1494527333910813252,0.45,0.0,0.0,0.0,0.0,0.0
1494527333965686766,0.45,0.0,0.0,0.0,0.0,0.0
1494527334011227896,0.45,0.0,0.0,0.0,0.0,0.0
1494527334064435985,0.45,0.0,0.0,0.0,0.0,0.0
1494527334111485156,0.45,0.0,0.0,0.0,0.0,0.0
1494527334160866327,0.45,0.0,0.0,0.0,0.0,0.33
1494527334217200270,0.45,0.0,0.0,0.0,0.0,0.33
1494527334260740194,0.45,0.0,0.0,0.0,0.0,0.33
1494527334311648679,0.45,0.0,0.0,0.0,0.0,0.33
1494527334361116972,0.45,0.0,0.0,0.0,0.0,0.33
1494527334417958976,0.45,0.0,0.0,0.0,0.0,0.33
1494527334460994072,0.45,0.0,0.0,0.0,0.0,0.33
1494527334513287917,0.45,0.0,0.0,0.0,0.0,0.33
1494527334561310968,0.45,0.0,0.0,0.0,0.0,0.33
1494527334624325779,0.45,0.0,0.0,0.0,0.0,0.33
1494527334660857197,0.45,0.0,0.0,0.0,0.0,0.33
1494527334711339595,0.45,0.0,0.0,0.0,0.0,0.33
1494527334761394692,0.45,0.0,0.0,0.0,0.0,0.33
1494527334810639320,0.45,0.0,0.0,0.0,0.0,0.33
1494527334860816453,0.45,0.0,0.0,0.0,0.0,0.33
1494527334911226127,0.45,0.0,0.0,0.0,0.0,0.33
1494527334962928286,0.45,0.0,0.0,0.0,0.0,0.33
1494527335025677977,0.45,0.0,0.0,0.0,0.0,0.33
1494527335063924358,0.45,0.0,0.0,0.0,0.0,0.33
1494527335111034188,0.45,0.0,0.0,0.0,0.0,0.33
1494527335161100255,0.4,0.0,0.0,0.0,0.0,0.33
1494527335211128054,0.4,0.0,0.0,0.0,0.0,0.33
1494527335262165011,0.4,0.0,0.0,0.0,0.0,0.33
1494527335313382219,0.4,0.0,0.0,0.0,0.0,0.33
1494527335361044736,0.35,0.0,0.0,0.0,0.0,0.33
1494527335514446777,0.35,0.0,0.0,0.0,0.0,0.33
1494527335521010898,0.35,0.0,0.0,0.0,0.0,0.33
1494527335521027830,0.35,0.0,0.0,0.0,0.0,0.33
1494527335560994915,0.3,0.0,0.0,0.0,0.0,0.33
1494527335611239043,0.3,0.0,0.0,0.0,0.0,0.33
1494527335663401275,0.3,0.0,0.0,0.0,0.0,0.33
1494527335710780718,0.3,0.0,0.0,0.0,0.0,0.33
