%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527312574121042,0.0,0.0,0.0,0.0,0.0,0.0
1494527326052646334,0.05,0.0,0.0,0.0,0.0,0.0
1494527326150831661,0.05,0.0,0.0,0.0,0.0,0.0
1494527326250276364,0.05,0.0,0.0,0.0,0.0,0.0
1494527326350622503,0.1,0.0,0.0,0.0,0.0,0.0
1494527326462444953,0.1,0.0,0.0,0.0,0.0,0.0
1494527326550255325,0.1,0.0,0.0,0.0,0.0,0.0
1494527326652122588,0.1,0.0,0.0,0.0,0.0,0.0
1494527326757393743,0.1,0.0,0.0,0.0,0.0,0.0
1494527326850128357,0.15,0.0,0.0,0.0,0.0,0.0
1494527326951142542,0.2,0.0,0.0,0.0,0.0,0.0
1494527327050665814,0.2,0.0,0.0,0.0,0.0,0.0
1494527327150702548,0.2,0.0,0.0,0.0,0.0,0.0
1494527327250114153,0.2,0.0,0.0,0.0,0.0,0.0
1494527327353325073,0.2,0.0,0.0,0.0,0.0,0.0
1494527327451063906,0.2,0.0,0.0,0.0,0.0,0.0
1494527327550646571,0.25,0.0,0.0,0.0,0.0,0.0
1494527327651238350,0.25,0.0,0.0,0.0,0.0,0.0
1494527327753817831,0.25,0.0,0.0,0.0,0.0,0.0
1494527327850142247,0.25,0.0,0.0,0.0,0.0,0.0
1494527327950372949,0.25,0.0,0.0,0.0,0.0,0.0
1494527328050132049,0.25,0.0,0.0,0.0,0.0,0.0
1494527328151081014,0.25,0.0,0.0,0.0,0.0,0.0
1494527328253753931,0.25,0.0,0.0,0.0,0.0,0.0
1494527328350074349,0.25,0.0,0.0,0.0,0.0,0.0
1494527328454044528,0.3,0.0,0.0,0.0,0.0,0.0
1494527328551692979,0.3,0.0,0.0,0.0,0.0,0.0
1494527328650026034,0.3,0.0,0.0,0.0,0.0,0.0
1494527328750305082,0.3,0.0,0.0,0.0,0.0,0.0
1494527328849933464,0.3,0.0,0.0,0.0,0.0,-0.33
1494527328950369780,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329050373520,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329150757625,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329250725551,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329350320860,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329451639634,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329549895774,0.3,0.0,0.0,0.0,0.0,-0.33
1494527329649917394,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329750612928,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329849970628,0.3,0.0,0.0,0.0,0.0,-0.66
1494527329950252023,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330049893426,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330151108447,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330250337532,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330351524280,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330450579822,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330551919274,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330649742203,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330751188762,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330851196531,0.3,0.0,0.0,0.0,0.0,-0.66
1494527330953086267,0.3,0.0,0.0,0.0,0.0,-0.66
1494527331050910817,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331159731075,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331250124199,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331349894076,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331450097256,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331551099824,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331730034926,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331750491004,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331851977512,0.3,0.0,0.0,0.0,0.0,-0.33
1494527331952124566,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332055685206,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332150153350,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332250202976,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332350286291,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332449932760,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332551293707,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332649970605,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332750167480,0.3,0.0,0.0,0.0,0.0,-0.33
1494527332850179801,0.3,0.0,0.0,0.0,0.0,0.0
1494527332950602926,0.3,0.0,0.0,0.0,0.0,0.0
1494527333049888468,0.3,0.0,0.0,0.0,0.0,0.0
1494527333150430403,0.3,0.0,0.0,0.0,0.0,0.0
1494527333249949772,0.3,0.0,0.0,0.0,0.0,0.0
1494527333350282466,0.35,0.0,0.0,0.0,0.0,0.0
1494527333449872108,0.35,0.0,0.0,0.0,0.0,0.0
1494527333550250965,0.4,0.0,0.0,0.0,0.0,0.0
1494527333650326411,0.4,0.0,0.0,0.0,0.0,0.0
1494527333750088612,0.45,0.0,0.0,0.0,0.0,0.0
1494527333850276302,0.45,0.0,0.0,0.0,0.0,0.0
1494527333951068586,0.45,0.0,0.0,0.0,0.0,0.0
1494527334050891066,0.45,0.0,0.0,0.0,0.0,0.0
1494527334150224880,0.45,0.0,0.0,0.0,0.0,0.33
1494527334250318204,0.45,0.0,0.0,0.0,0.0,0.33
1494527334349969661,0.45,0.0,0.0,0.0,0.0,0.33
1494527334450684897,0.45,0.0,0.0,0.0,0.0,0.33
1494527334550213317,0.45,0.0,0.0,0.0,0.0,0.33
1494527334650037772,0.45,0.0,0.0,0.0,0.0,0.33
1494527334751338480,0.45,0.0,0.0,0.0,0.0,0.33
1494527334850807749,0.45,0.0,0.0,0.0,0.0,0.33
1494527334950903449,0.45,0.0,0.0,0.0,0.0,0.33
1494527335053803501,0.45,0.0,0.0,0.0,0.0,0.33
1494527335151760738,0.4,0.0,0.0,0.0,0.0,0.33
1494527335250258985,0.4,0.0,0.0,0.0,0.0,0.33
1494527335350447945,0.35,0.0,0.0,0.0,0.0,0.33
1494527335514692207,0.35,0.0,0.0,0.0,0.0,0.33
1494527335549949093,0.3,0.0,0.0,0.0,0.0,0.33
1494527335650114951,0.3,0.0,0.0,0.0,0.0,0.33
1494527335750320146,0.25,0.0,0.0,0.0,0.0,0.33
1494527335849684804,0.25,0.0,0.0,0.0,0.0,0.33
1494527336182276596,0.25,0.0,0.0,0.0,0.0,0.0
1494527336330712817,0.25,0.0,0.0,0.0,0.0,0.0
1494527336330730781,0.25,0.0,0.0,0.0,0.0,-0.33
1494527336339052058,0.25,0.0,0.0,0.0,0.0,-0.33
1494527336356111812,0.25,0.0,0.0,0.0,0.0,-0.66
1494527336460945907,0.25,0.0,0.0,0.0,0.0,-0.66
1494527336604974291,0.25,0.0,0.0,0.0,0.0,-0.66
1494527336854396870,0.25,0.0,0.0,0.0,0.0,-0.66
1494527336858931850,0.25,0.0,0.0,0.0,0.0,-0.66
1494527336858937612,0.25,0.0,0.0,0.0,0.0,-0.99
1494527336950292484,0.25,0.0,0.0,0.0,0.0,-0.99
1494527337050470303,0.25,0.0,0.0,0.0,0.0,-0.99
1494527337150449120,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337249766995,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337350203337,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337449990391,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337549797603,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337649914923,0.25,0.0,0.0,0.0,0.0,-1.32
1494527337750663956,0.25,0.0,0.0,0.0,0.0,-1.32
