%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527312611861657,0.0,0.0,0.0,0.0,0.0,0.0
1494527312667536314,0.0,0.0,0.0,0.0,0.0,0.0
1494527312711341464,0.0,0.0,0.0,0.0,0.0,0.0
1494527312773586984,0.0,0.0,0.0,0.0,0.0,0.0
1494527312811140993,0.0,0.0,0.0,0.0,0.0,0.0
1494527312860885216,0.0,0.0,0.0,0.0,0.0,0.0
1494527326066392604,0.05,0.0,0.0,0.0,0.0,0.0
1494527326122939843,0.05,0.0,0.0,0.0,0.0,0.0
1494527326162611583,0.05,0.0,0.0,0.0,0.0,0.0
1494527326211367685,0.05,0.0,0.0,0.0,0.0,0.0
1494527326261080054,0.05,0.0,0.0,0.0,0.0,0.0
1494527326311463447,0.05,0.0,0.0,0.0,0.0,0.0
1494527326361453423,0.1,0.0,0.0,0.0,0.0,0.0
1494527326416695619,0.1,0.0,0.0,0.0,0.0,0.0
1494527326466397688,0.1,0.0,0.0,0.0,0.0,0.0
1494527326514524112,0.1,0.0,0.0,0.0,0.0,0.0
1494527326561927941,0.1,0.0,0.0,0.0,0.0,0.0
1494527326611137334,0.1,0.0,0.0,0.0,0.0,0.0
1494527326661798725,0.1,0.0,0.0,0.0,0.0,0.0
1494527326760151693,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873073616,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873107802,0.1,0.0,0.0,0.0,0.0,0.0
1494527326873117908,0.15,0.0,0.0,0.0,0.0,0.0
1494527326911263256,0.15,0.0,0.0,0.0,0.0,0.0
1494527326960748835,0.2,0.0,0.0,0.0,0.0,0.0
1494527327010996133,0.2,0.0,0.0,0.0,0.0,0.0
1494527327061928349,0.2,0.0,0.0,0.0,0.0,0.0
1494527327112726499,0.2,0.0,0.0,0.0,0.0,0.0
1494527327164376699,0.2,0.0,0.0,0.0,0.0,0.0
1494527327211854233,0.2,0.0,0.0,0.0,0.0,0.0
1494527327262384857,0.2,0.0,0.0,0.0,0.0,0.0
1494527327310812242,0.2,0.0,0.0,0.0,0.0,0.0
1494527327360827224,0.2,0.0,0.0,0.0,0.0,0.0
1494527327410788640,0.2,0.0,0.0,0.0,0.0,0.0
1494527327464025330,0.2,0.0,0.0,0.0,0.0,0.0
1494527327510818581,0.2,0.0,0.0,0.0,0.0,0.0
1494527327560647407,0.25,0.0,0.0,0.0,0.0,0.0
1494527327610930019,0.25,0.0,0.0,0.0,0.0,0.0
1494527327660830999,0.25,0.0,0.0,0.0,0.0,0.0
1494527327710818175,0.25,0.0,0.0,0.0,0.0,0.0
1494527327770246358,0.25,0.0,0.0,0.0,0.0,0.0
1494527327810846719,0.25,0.0,0.0,0.0,0.0,0.0
1494527327860710812,0.25,0.0,0.0,0.0,0.0,0.0
1494527327912076579,0.25,0.0,0.0,0.0,0.0,0.0
1494527327960641909,0.25,0.0,0.0,0.0,0.0,0.0
1494527328010859420,0.25,0.0,0.0,0.0,0.0,0.0
1494527328063882714,0.25,0.0,0.0,0.0,0.0,0.0
1494527328110866265,0.25,0.0,0.0,0.0,0.0,0.0
1494527328165328674,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428372070,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428393204,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428401305,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428408817,0.25,0.0,0.0,0.0,0.0,0.0
1494527328428416400,0.25,0.0,0.0,0.0,0.0,0.0
1494527328460815056,0.3,0.0,0.0,0.0,0.0,0.0
1494527328511669466,0.3,0.0,0.0,0.0,0.0,0.0
1494527328568718305,0.3,0.0,0.0,0.0,0.0,0.0
1494527328611044993,0.3,0.0,0.0,0.0,0.0,0.0
1494527328660959767,0.3,0.0,0.0,0.0,0.0,0.0
1494527328712053846,0.3,0.0,0.0,0.0,0.0,0.0
1494527328763828420,0.3,0.0,0.0,0.0,0.0,0.0
1494527328811519652,0.3,0.0,0.0,0.0,0.0,0.0
1494527328860939536,0.3,0.0,0.0,0.0,0.0,-0.33
1494527328922130039,0.3,0.0,0.0,0.0,0.0,-0.33
1494527328961111456,0.3,0.0,0.0,0.0,0.0,-0.33
