%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494527312573494233,0,0,0,0,0
1494527312573503093,0,0,0,0,0
1494527312573510995,0,0,0,0,0
1494527312573520791,0,0,0,0,0
1494527312573531721,0,0,0,0,0
1494527312573547128,0,0,0,0,0
1494527312573557621,0,0,0,0,0
1494527312573566894,0,0,0,0,0
1494527312573575976,0,0,0,0,0
1494527312573584164,0,0,0,0,0
1494527312573598550,0,0,0,0,0
1494527312573612617,0,0,0,0,0
1494527312573690364,0,0,0,0,0
1494527312573714640,0,0,0,0,0
1494527312573750736,0,0,0,0,0
1494527312580797591,0,0,0,0,0
1494527312580816182,0,0,0,0,0
1494527312580833482,0,0,0,0,0
1494527312580847188,0,0,0,0,0
1494527312580861973,0,0,0,0,0
1494527312580870828,0,0,0,0,0
1494527312580881901,0,0,0,0,0
1494527312580892353,0,0,0,0,0
1494527312580916413,0,0,0,0,0
1494527312580928792,0,0,0,0,0
1494527312580945132,0,0,0,0,0
1494527312580958901,0,0,0,0,0
1494527312580967161,0,0,0,0,0
1494527312580977532,0,0,0,0,0
1494527312580993662,0,0,0,0,0
1494527312581003337,0,0,0,0,0
1494527312581012991,0,0,0,0,0
1494527312581029267,0,0,0,0,0
1494527312581035809,0,0,0,0,0
1494527312581053232,0,0,0,0,0
1494527312581060932,0,0,0,0,0
1494527312581100779,0,0,0,0,0
1494527312599638225,0,0,0,0,0
1494527312616985673,0,0,0,0,0
1494527312638191594,0,0,0,0,0
1494527312656774087,0,0,0,0,0
1494527312678063059,0,0,0,0,0
1494527312702199934,0,0,0,0,0
1494527312717269074,0,0,0,0,0
1494527312737980589,0,0,0,0,0
1494527312773628425,0,0,0,0,0
1494527312785897942,0,0,0,0,0
1494527312797044286,0,0,0,0,0
1494527312816888444,0,0,0,0,0
1494527312840110545,0,0,0,0,0
1494527312857776023,0,0,0,0,0
1494527312877662276,0,0,0,0,0
1494527312897589661,0,0,0,0,0
1494527312918265487,0,0,0,0,0
1494527312940055528,0,0,0,0,0
1494527312957999604,0,0,0,0,0
1494527312976943405,0,0,0,0,0
1494527313010304976,0,0,0,0,0
1494527313019403516,0,0,0,0,0
1494527313038035305,0,0,0,0,0
