%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.instance_id,field.active,field.heartbeat_timeout,field.heartbeat_period
1494527312780929528,29,1494527313257846605,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527312891900292,2,1494527313378091823,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527313227749855,30,1494527313713588295,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527313341678241,31,1494527313828062528,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527313344517818,2,1494527313831388436,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527313399107625,32,1494527313876792314,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527313533567157,3,1494527314019182888,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527313545374623,22,1494527314029531860,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527313773356028,33,1494527314258799943,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527313894160163,3,1494527314380428611,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527314227424466,34,1494527314713626577,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527314342862160,35,1494527314828132056,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527314346054287,3,1494527314833374542,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527314392382096,36,1494527314877120048,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527314535911129,4,1494527315021414737,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527314547159120,23,1494527315031958499,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527314773924368,37,1494527315258662331,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527314897675822,4,1494527315383914693,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527315229229697,38,1494527315714182948,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527315342889722,39,1494527315828734006,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527315348818075,4,1494527315835479779,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527315390950403,40,1494527315877091247,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527315537563544,5,1494527316023471884,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527315548078783,24,1494527316034339395,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527315773648545,41,1494527316258065769,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527315900361580,5,1494527316386176577,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527316228535403,42,1494527316714410076,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527316346441659,43,1494527316828435632,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527316352271411,5,1494527316838183854,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527316415175144,44,1494527316877038204,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527316541493555,6,1494527317026836034,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527316551324954,25,1494527317037100713,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527316775665429,45,1494527317258917335,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527316904224421,6,1494527317388575134,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527317227837999,46,1494527317714352420,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527317346762051,47,1494527317828931929,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527317353779946,6,1494527317841248977,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527317392190348,48,1494527317877496749,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527317542535794,7,1494527318029196235,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527317556512742,26,1494527318042156282,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527317773043019,49,1494527318258168162,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527317905090261,7,1494527318391092781,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527318230841381,50,1494527318714197980,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527318343006562,51,1494527318828692985,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527318357968199,7,1494527318843692525,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527318390480018,52,1494527318876918222,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527318546802235,8,1494527319031717860,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527318562840464,27,1494527319044357240,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527318776940418,53,1494527319258795452,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527318908741762,8,1494527319393481102,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527319228148311,54,1494527319714592338,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527319342161001,55,1494527319828270924,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527319359323550,8,1494527319846345455,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527319394102126,56,1494527319877299699,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527319547957321,9,1494527320034235868,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527319563293914,28,1494527320046850664,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527319772987213,57,1494527320258806708,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
1494527319910288387,9,1494527320395934473,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,0f9dd163-49bf-4ed6-9bdb-1e5242e4a2d7,1,4.0,1.0
1494527320234074947,58,1494527320714399288,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,a7bf3a8c-c4a5-45a1-a270-5d224aae43ab,1,4.0,1.0
1494527320342958551,59,1494527320828870869,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,1d9aaf9a-b0ad-4edd-9bad-55e355c9c6fa,1,4.0,1.0
1494527320364240858,9,1494527320849110476,,/keyop_vel_smoother_207f6536-2827-457b-8892-105ab5be5083,bf548db1-473c-4c00-9a66-63a2ea64e804,1,4.0,1.0
1494527320390151622,60,1494527320876665770,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,79c5e269-f617-40b9-8326-024a6a92afc2,1,4.0,1.0
1494527320550279249,10,1494527321036856924,,/cmd_vel_mux_89e6f878-9f9c-40dd-8936-590c878a2ee1,58e83cb0-9ed6-46cc-82cd-c40822a8d4b5,1,4.0,1.0
1494527320563155789,29,1494527321049538303,,/mobile_base_c7016e4f-a7c7-4a0e-b8aa-92590ac9dea4,8365b330-a1d1-4b14-8777-3c2dca193e83,1,4.0,1.0
1494527320775491046,61,1494527321258802348,,/kobuki_safety_controller_c360306b-a742-48b2-8b40-67a63251f178,795cc538-93e6-4798-ab81-628227914313,1,4.0,1.0
