%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.bumper,field.wheel_drop,field.cliff,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm,field.buttons,field.charger,field.battery,field.bottom0,field.bottom1,field.bottom2,field.current0,field.current1,field.over_current,field.digital_input,field.analog_input0,field.analog_input1,field.analog_input2,field.analog_input3
1494527312573389312,0,1494527311842127078,,54760,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1623,0,0,0,0,4063,4069,4071,4082
1494527312573400194,1,1494527311861420319,,54780,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1624,0,0,0,0,4066,4076,4077,4079
1494527312573405912,2,1494527311881573058,,54800,0,0,0,60319,27363,0,0,0,0,152,1577,1905,1624,0,0,0,0,4069,4075,4076,4060
1494527312573411678,3,1494527311901607922,,54820,0,0,0,60319,27363,0,0,0,0,152,1577,1905,1624,0,0,0,0,4077,4074,4059,4070
1494527312573417633,4,1494527311922412326,,54840,0,0,0,60319,27363,0,0,0,0,152,1581,1904,1600,0,0,0,0,4063,4072,4072,4076
1494527312573431087,5,1494527311941915567,,54860,0,0,0,60319,27363,0,0,0,0,152,1581,1905,1619,0,0,0,0,4063,4071,4070,4079
1494527312573437072,6,1494527311961486932,,54880,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1620,0,0,0,0,4072,4073,4074,4076
1494527312573688523,7,1494527311981497546,,54900,0,0,0,60319,27363,0,0,0,0,152,1576,1905,1620,0,0,0,0,4068,4077,4067,4066
1494527312573711023,8,1494527312001501452,,54920,0,0,0,60319,27363,0,0,0,0,152,1576,1904,1620,0,0,0,0,4075,4070,4061,4068
1494527312573732942,9,1494527312022212647,,54940,0,0,0,60319,27363,0,0,0,0,152,1577,1907,1623,0,0,0,0,4065,4073,4070,4079
1494527312573866303,10,1494527312041440221,,54960,0,0,0,60319,27363,0,0,0,0,152,1577,1907,1623,0,0,0,0,4068,4077,4073,4076
1494527312573879635,11,1494527312061379751,,54980,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1624,0,0,0,0,4071,4072,4073,4079
1494527312573888669,12,1494527312081369948,,55000,0,0,0,60319,27363,0,0,0,0,152,1577,1918,1624,0,0,0,0,4071,4077,4072,4059
1494527312573908889,13,1494527312102385642,,55020,0,0,0,60319,27363,0,0,0,0,152,1577,1918,1621,0,0,0,0,4071,4074,4059,4076
1494527312573923143,14,1494527312122274673,,55040,0,0,0,60319,27363,0,0,0,0,152,1574,1918,1621,0,0,0,0,4065,4066,4067,4078
1494527312573932798,15,1494527312141860996,,55060,0,0,0,60319,27363,0,0,0,0,152,1574,1903,1626,0,0,0,0,4062,4067,4069,4076
1494527312573948354,16,1494527312161628818,,55080,0,0,0,60319,27363,0,0,0,0,152,1571,1903,1626,0,0,0,0,4067,4072,4073,4085
1494527312573956475,17,1494527312181522432,,55100,0,0,0,60319,27363,0,0,0,0,152,1572,1905,1626,0,0,0,0,4072,4078,4078,4075
1494527312575663888,18,1494527312201294296,,55120,0,0,0,60319,27363,0,0,0,0,152,1578,1909,1622,0,0,0,0,4071,4073,4067,4067
1494527312575671791,19,1494527312221541826,,55140,0,0,0,60319,27363,0,0,0,0,152,1578,1909,1622,0,0,0,0,4071,4073,4068,4072
1494527312575711367,20,1494527312241606398,,55160,0,0,0,60319,27363,0,0,0,0,152,1572,1906,1622,0,0,0,0,4068,4069,4071,4074
1494527312575716386,21,1494527312264508753,,55180,0,0,0,60319,27363,0,0,0,0,152,1551,1904,1623,0,0,0,0,4065,4070,4073,4080
1494527312575723944,22,1494527312281487750,,55200,0,0,0,60319,27363,0,0,0,0,152,1551,1906,1623,0,0,0,0,4063,4072,4075,4086
1494527312575730662,23,1494527312302532277,,55220,0,0,0,60319,27363,0,0,0,0,152,1573,1906,1623,0,0,0,0,4074,4074,4076,4067
1494527312575737934,24,1494527312362474785,,55280,0,0,0,60319,27363,0,0,0,0,152,1574,1903,1617,0,0,0,0,4062,4069,4067,4073
1494527312575743253,25,1494527312382623023,,55300,0,0,0,60319,27363,0,0,0,0,152,1574,1912,1601,0,0,0,0,4071,4076,4069,4079
1494527312575750137,26,1494527312401439723,,55320,0,0,0,60319,27363,0,0,0,0,152,1577,1912,1624,0,0,0,0,4073,4078,4071,4067
1494527312575761844,27,1494527312421548503,,55340,0,0,0,60319,27363,0,0,0,0,152,1587,1905,1627,0,0,0,0,4076,4075,4061,4063
1494527312575796293,28,1494527312441709158,,55360,0,0,0,60319,27363,0,0,0,0,152,1587,1903,1627,0,0,0,0,4078,4066,4064,4075
1494527312575808093,29,1494527312461237814,,55380,0,0,0,60319,27363,0,0,0,0,152,1586,1903,1626,0,0,0,0,4070,4068,4068,4074
1494527312575815365,30,1494527312482341841,,55400,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1622,0,0,0,0,4066,4075,4077,4082
1494527312575828721,31,1494527312502545454,,55420,0,0,0,60319,27363,0,0,0,0,152,1568,1905,1622,0,0,0,0,4068,4074,4074,4068
1494527312575836644,32,1494527312522327318,,55440,0,0,0,60319,27363,0,0,0,0,152,1568,1905,1622,0,0,0,0,4071,4078,4063,4067
1494527312575845527,33,1494527312542334140,,55460,0,0,0,60319,27363,0,0,0,0,152,1575,1905,1623,0,0,0,0,4078,4070,4062,4072
1494527312575859788,34,1494527312562313379,,55480,0,0,0,60319,27363,0,0,0,0,152,1575,1912,1623,0,0,0,0,4067,4073,4067,4074
