%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527470242523484,0.0,0.0,0.0,0.0,0.0,0.0
1494527470295900905,0.0,0.0,0.0,0.0,0.0,0.0
1494527470349067460,0.0,0.0,0.0,0.0,0.0,0.0
1494527470401186063,0.0,0.0,0.0,0.0,0.0,0.0
1494527470441765249,0.0,0.0,0.0,0.0,0.0,0.0
1494527470491452629,0.0,0.0,0.0,0.0,0.0,0.0
1494527473392069240,0.05,0.0,0.0,0.0,0.0,0.0
1494527473442223372,0.05,0.0,0.0,0.0,0.0,0.0
1494527473493388090,0.05,0.0,0.0,0.0,0.0,0.0
1494527473542609717,0.05,0.0,0.0,0.0,0.0,0.0
1494527473610936897,0.05,0.0,0.0,0.0,0.0,0.0
1494527473649755902,0.1,0.0,0.0,0.0,0.0,0.0
1494527473694472290,0.1,0.0,0.0,0.0,0.0,0.0
1494527473741522731,0.1,0.0,0.0,0.0,0.0,0.0
1494527473792217089,0.15,0.0,0.0,0.0,0.0,0.0
1494527473841607124,0.15,0.0,0.0,0.0,0.0,0.0
1494527473892247144,0.15,0.0,0.0,0.0,0.0,0.0
1494527473941648400,0.15,0.0,0.0,0.0,0.0,0.0
1494527473991907073,0.15,0.0,0.0,0.0,0.0,0.0
1494527474042530695,0.15,0.0,0.0,0.0,0.0,0.0
1494527474091946642,0.2,0.0,0.0,0.0,0.0,0.0
1494527474141900784,0.2,0.0,0.0,0.0,0.0,0.0
1494527474191559924,0.2,0.0,0.0,0.0,0.0,0.0
1494527474242170350,0.2,0.0,0.0,0.0,0.0,0.0
1494527474292318790,0.2,0.0,0.0,0.0,0.0,0.0
1494527474342305122,0.2,0.0,0.0,0.0,0.0,0.0
1494527474392382686,0.2,0.0,0.0,0.0,0.0,0.0
1494527474441786090,0.2,0.0,0.0,0.0,0.0,0.0
1494527474493805132,0.2,0.0,0.0,0.0,0.0,0.0
1494527474541744102,0.2,0.0,0.0,0.0,0.0,0.0
1494527474598634833,0.25,0.0,0.0,0.0,0.0,0.0
1494527474641449755,0.25,0.0,0.0,0.0,0.0,0.0
1494527474703516760,0.25,0.0,0.0,0.0,0.0,0.0
1494527474743115660,0.25,0.0,0.0,0.0,0.0,0.0
1494527474791236646,0.3,0.0,0.0,0.0,0.0,0.0
1494527474841806493,0.3,0.0,0.0,0.0,0.0,0.0
1494527474891216466,0.3,0.0,0.0,0.0,0.0,0.0
1494527474941610912,0.3,0.0,0.0,0.0,0.0,0.0
1494527474992410051,0.3,0.0,0.0,0.0,0.0,0.0
1494527475042475866,0.3,0.0,0.0,0.0,0.0,0.0
1494527475091885887,0.35,0.0,0.0,0.0,0.0,0.0
1494527475141722372,0.35,0.0,0.0,0.0,0.0,0.0
1494527475193638284,0.35,0.0,0.0,0.0,0.0,0.0
1494527475241661173,0.35,0.0,0.0,0.0,0.0,0.0
1494527475291836294,0.35,0.0,0.0,0.0,0.0,0.0
1494527475355410691,0.35,0.0,0.0,0.0,0.0,0.0
