%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527470220428433,0.0,0.0,0.0,0.0,0.0,0.0
1494527473385004341,0.05,0.0,0.0,0.0,0.0,0.0
1494527473485355896,0.05,0.0,0.0,0.0,0.0,0.0
1494527473610812170,0.1,0.0,0.0,0.0,0.0,0.0
1494527473685008427,0.1,0.0,0.0,0.0,0.0,0.0
1494527473784918253,0.15,0.0,0.0,0.0,0.0,0.0
1494527473885502451,0.15,0.0,0.0,0.0,0.0,0.0
1494527473985339730,0.15,0.0,0.0,0.0,0.0,0.0
1494527474085101635,0.2,0.0,0.0,0.0,0.0,0.0
1494527474186956641,0.2,0.0,0.0,0.0,0.0,0.0
1494527474292071672,0.2,0.0,0.0,0.0,0.0,0.0
1494527474385045669,0.2,0.0,0.0,0.0,0.0,0.0
1494527474484971683,0.2,0.0,0.0,0.0,0.0,0.0
1494527474585460330,0.25,0.0,0.0,0.0,0.0,0.0
1494527474691735095,0.25,0.0,0.0,0.0,0.0,0.0
1494527474784682167,0.3,0.0,0.0,0.0,0.0,0.0
1494527474886216916,0.3,0.0,0.0,0.0,0.0,0.0
1494527474985090764,0.3,0.0,0.0,0.0,0.0,0.0
1494527475085522431,0.35,0.0,0.0,0.0,0.0,0.0
1494527475188501599,0.35,0.0,0.0,0.0,0.0,0.0
1494527475285108364,0.35,0.0,0.0,0.0,0.0,0.0
1494527475384994591,0.35,0.0,0.0,0.0,0.0,0.0
1494527475485154522,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475584882561,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475685566124,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475785047399,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475885243617,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475985592802,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476085007484,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476186050931,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476286151285,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476384926783,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476486457592,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476585638874,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476687364892,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476785472431,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476885447814,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476985077363,0.35,0.0,0.0,0.0,0.0,-0.66
1494527477085700819,0.35,0.0,0.0,0.0,0.0,-0.66
1494527477185169432,0.35,0.0,0.0,0.0,0.0,-0.66
