%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494527470244280723,0.0,0.0,0.0,0.0,0.0,0.0
1494527470295925743,0.0,0.0,0.0,0.0,0.0,0.0
1494527470349067456,0.0,0.0,0.0,0.0,0.0,0.0
1494527470401186067,0.0,0.0,0.0,0.0,0.0,0.0
1494527470443386102,0.0,0.0,0.0,0.0,0.0,0.0
1494527470491636584,0.0,0.0,0.0,0.0,0.0,0.0
1494527473392222995,0.05,0.0,0.0,0.0,0.0,0.0
1494527473446503133,0.05,0.0,0.0,0.0,0.0,0.0
1494527473493439875,0.05,0.0,0.0,0.0,0.0,0.0
1494527473542831515,0.05,0.0,0.0,0.0,0.0,0.0
1494527473610941649,0.05,0.0,0.0,0.0,0.0,0.0
1494527473649756294,0.1,0.0,0.0,0.0,0.0,0.0
1494527473694472304,0.1,0.0,0.0,0.0,0.0,0.0
1494527473741551382,0.1,0.0,0.0,0.0,0.0,0.0
1494527473792610917,0.15,0.0,0.0,0.0,0.0,0.0
1494527473841847846,0.15,0.0,0.0,0.0,0.0,0.0
1494527473893334028,0.15,0.0,0.0,0.0,0.0,0.0
1494527473941905533,0.15,0.0,0.0,0.0,0.0,0.0
1494527473992959038,0.15,0.0,0.0,0.0,0.0,0.0
1494527474042577206,0.15,0.0,0.0,0.0,0.0,0.0
1494527474092092249,0.2,0.0,0.0,0.0,0.0,0.0
1494527474142847035,0.2,0.0,0.0,0.0,0.0,0.0
1494527474191559928,0.2,0.0,0.0,0.0,0.0,0.0
1494527474242190261,0.2,0.0,0.0,0.0,0.0,0.0
1494527474292330920,0.2,0.0,0.0,0.0,0.0,0.0
1494527474342305526,0.2,0.0,0.0,0.0,0.0,0.0
1494527474392411952,0.2,0.0,0.0,0.0,0.0,0.0
1494527474441805755,0.2,0.0,0.0,0.0,0.0,0.0
1494527474493838953,0.2,0.0,0.0,0.0,0.0,0.0
1494527474541744098,0.2,0.0,0.0,0.0,0.0,0.0
1494527474598929268,0.25,0.0,0.0,0.0,0.0,0.0
1494527474641479101,0.25,0.0,0.0,0.0,0.0,0.0
1494527474703537316,0.25,0.0,0.0,0.0,0.0,0.0
1494527474743718154,0.25,0.0,0.0,0.0,0.0,0.0
1494527474791301821,0.3,0.0,0.0,0.0,0.0,0.0
1494527474841806505,0.3,0.0,0.0,0.0,0.0,0.0
1494527474891278515,0.3,0.0,0.0,0.0,0.0,0.0
1494527474941610555,0.3,0.0,0.0,0.0,0.0,0.0
1494527474992410055,0.3,0.0,0.0,0.0,0.0,0.0
1494527475043210019,0.3,0.0,0.0,0.0,0.0,0.0
1494527475091944060,0.35,0.0,0.0,0.0,0.0,0.0
1494527475145983652,0.35,0.0,0.0,0.0,0.0,0.0
1494527475193645972,0.35,0.0,0.0,0.0,0.0,0.0
1494527475241661456,0.35,0.0,0.0,0.0,0.0,0.0
1494527475291861189,0.35,0.0,0.0,0.0,0.0,0.0
1494527475355410514,0.35,0.0,0.0,0.0,0.0,0.0
1494527475391856646,0.35,0.0,0.0,0.0,0.0,0.0
1494527475441619810,0.35,0.0,0.0,0.0,0.0,0.0
1494527475498548798,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475542913783,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475591181718,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475647378861,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475692980633,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475741974768,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475791366775,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475859553333,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475891467913,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475976504748,0.35,0.0,0.0,0.0,0.0,-0.33
1494527475994962239,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476041661012,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476091467771,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476142226556,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476193654149,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476241632729,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476291827113,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476341528614,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476391322949,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476442061776,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476492030824,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476543364513,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476592647334,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476644246851,0.35,0.0,0.0,0.0,0.0,-0.33
1494527476692142680,0.35,0.0,0.0,0.0,0.0,-0.33
