%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494527466455950756,0,0,0,0,0
1494527466455976946,0,0,0,0,0
1494527466455999728,0,0,0,0,0
1494527466456019026,0,0,0,0,0
1494527466456044968,0,0,0,0,0
1494527466456060581,0,0,0,0,0
1494527466456106313,0,0,0,0,0
1494527466456136749,0,0,0,0,0
1494527466456176044,0,0,0,0,0
1494527466456199874,0,0,0,0,0
1494527466456215365,0,0,0,0,0
1494527466456236700,0,0,0,0,0
1494527466456247697,0,0,0,0,0
1494527466456267831,0,0,0,0,0
1494527466456277480,0,0,0,0,0
1494527466456298618,0,0,0,0,0
1494527466456324910,0,0,0,0,0
1494527466456349773,0,0,0,0,0
1494527466456361148,0,0,0,0,0
1494527466456379459,0,0,0,0,0
1494527466456415043,0,0,0,0,0
1494527466456440239,0,0,0,0,0
1494527466456461547,0,0,0,0,0
1494527466456480933,0,0,0,0,0
1494527466456495181,0,0,0,0,0
1494527466456511539,0,0,0,0,0
1494527466456536356,0,0,0,0,0
1494527466456553290,0,0,0,0,0
1494527466456575235,0,0,0,0,0
1494527466456592278,0,0,0,0,0
1494527466456633260,0,0,0,0,0
1494527466456647613,0,0,0,0,0
1494527466456663675,0,0,0,0,0
1494527466456676911,0,0,0,0,0
1494527466456694737,0,0,0,0,0
1494527466456705948,0,0,0,0,0
1494527466456723644,0,0,0,0,0
1494527466456743684,0,0,0,0,0
1494527466456770659,0,0,0,0,0
1494527466456791908,0,0,0,0,0
1494527466464842626,0,0,0,0,0
1494527466478428683,0,0,0,0,0
1494527466494770352,0,0,0,0,0
1494527466514385430,0,0,0,0,0
1494527466535928692,0,0,0,0,0
1494527466555909067,0,0,0,0,0
1494527466579985257,0,0,0,0,0
1494527466595219101,0,0,0,0,0
1494527466614645738,0,0,0,0,0
1494527466636451658,0,0,0,0,0
1494527466656458749,0,0,0,0,0
1494527466676691471,0,0,0,0,0
1494527466695728008,0,0,0,0,0
1494527466716242003,0,0,0,0,0
1494527466761258404,0,0,0,0,0
1494527466777991166,0,0,0,0,0
1494527466781427157,0,0,0,0,0
1494527466794676530,0,0,0,0,0
1494527466815750678,0,0,0,0,0
1494527466837626503,0,0,0,0,0
1494527466857284709,0,0,0,0,0
1494527466875598998,0,0,0,0,0
1494527466898140652,0,0,0,0,0
1494527466919587527,0,0,0,0,0
1494527466936676697,0,0,0,0,0
1494527466956488482,0,0,0,0,0
1494527466977459682,0,0,0,0,0
1494527466995780941,0,0,0,0,0
1494527467018853160,0,0,0,0,0
1494527467036572824,0,0,0,0,0
1494527467056207020,0,0,0,0,0
1494527467077979724,0,0,0,0,0
1494527467097030190,0,0,0,0,0
1494527467121166846,0,0,0,0,0
1494527467135734562,0,0,0,0,0
1494527467160346877,0,0,0,0,0
1494527467178539853,0,0,0,0,0
1494527467199144777,0,0,0,0,0
1494527467218657830,0,0,0,0,0
1494527467240368782,0,0,0,0,0
1494527467255904695,0,0,0,0,0
1494527467286420422,0,0,0,0,0
1494527467297402719,0,0,0,0,0
