%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.instance_id,field.active,field.heartbeat_timeout,field.heartbeat_period
1494527466531867908,2,1494527467018103336,,/mobile_base_85f06ec4-6479-4648-a6d9-cdc2d30f85db,c4d341a8-effb-487c-9ef6-a44f69246c1d,1,4.0,1.0
1494527466663190308,8,1494527467148682861,,/keyop_vel_smoother_1c0c5575-2296-4830-8e57-79e8fe54004a,b27975b5-24ae-4779-9e08-608c8e72f5b9,1,4.0,1.0
1494527466806698506,9,1494527467293145355,,/cmd_vel_mux_04be4b6b-9050-488b-a2df-2e12d8eb0621,91e55536-445c-45a2-95bd-6821336ab728,1,4.0,1.0
1494527466813678371,1,1494527467299369452,,/keyop_vel_smoother_1c0c5575-2296-4830-8e57-79e8fe54004a,8929a0ca-6093-4fc3-ab8c-e2069bcc1420,1,4.0,1.0
1494527466940493937,2,1494527467423683507,,/cmd_vel_mux_04be4b6b-9050-488b-a2df-2e12d8eb0621,97991190-032a-4c85-91cc-2eb2b23f74d4,1,4.0,1.0
1494527467217740226,10,1494527467696248971,,/kobuki_safety_controller_e95054c8-074e-4897-a46f-c18bc7749bf7,87b60490-8e7e-4972-92fd-f1ff3b73d43a,1,4.0,1.0
1494527467346072115,2,1494527467817182689,,/kobuki_safety_controller_e95054c8-074e-4897-a46f-c18bc7749bf7,94537b31-d38e-4ab9-b89d-24a84ac38696,1,4.0,1.0
1494527467368126022,11,1494527467845241289,,/mobile_base_85f06ec4-6479-4648-a6d9-cdc2d30f85db,39fcffe1-e188-467c-a9d8-8b5862a1351d,1,4.0,1.0
1494527467534734578,3,1494527468020816599,,/mobile_base_85f06ec4-6479-4648-a6d9-cdc2d30f85db,c4d341a8-effb-487c-9ef6-a44f69246c1d,1,4.0,1.0
1494527467662012620,12,1494527468148520034,,/keyop_vel_smoother_1c0c5575-2296-4830-8e57-79e8fe54004a,b27975b5-24ae-4779-9e08-608c8e72f5b9,1,4.0,1.0
1494527467808011691,13,1494527468294118059,,/cmd_vel_mux_04be4b6b-9050-488b-a2df-2e12d8eb0621,91e55536-445c-45a2-95bd-6821336ab728,1,4.0,1.0
1494527467815246309,2,1494527468301986512,,/keyop_vel_smoother_1c0c5575-2296-4830-8e57-79e8fe54004a,8929a0ca-6093-4fc3-ab8c-e2069bcc1420,1,4.0,1.0
1494527467942164484,3,1494527468425904282,,/cmd_vel_mux_04be4b6b-9050-488b-a2df-2e12d8eb0621,97991190-032a-4c85-91cc-2eb2b23f74d4,1,4.0,1.0
1494527468210704398,14,1494527468695995987,,/kobuki_safety_controller_e95054c8-074e-4897-a46f-c18bc7749bf7,87b60490-8e7e-4972-92fd-f1ff3b73d43a,1,4.0,1.0
