%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.bumper,field.wheel_drop,field.cliff,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm,field.buttons,field.charger,field.battery,field.bottom0,field.bottom1,field.bottom2,field.current0,field.current1,field.over_current,field.digital_input,field.analog_input0,field.analog_input1,field.analog_input2,field.analog_input3
1494527466455324207,0,1494527465479214951,,11592,0,0,0,53671,142,0,0,0,0,151,1554,1906,1623,0,0,0,0,4074,4075,4075,4059
1494527466455397774,1,1494527465499250558,,11612,0,0,0,53671,142,0,0,0,0,151,1628,1906,1623,0,0,0,0,4069,4075,4073,4058
1494527466455411447,2,1494527465519218790,,11632,0,0,0,53671,142,0,0,0,0,151,1628,1904,1622,0,0,0,0,4071,4073,4065,4062
1494527466455431339,3,1494527465539385936,,11652,0,0,0,53671,142,0,0,0,0,151,1556,1904,1599,0,0,0,0,4066,4075,4062,4065
1494527466455514886,4,1494527465559458834,,11672,0,0,0,53671,142,0,0,0,0,151,1551,1904,1621,0,0,0,0,4071,4086,4059,4066
1494527466455522840,5,1494527465580211974,,11692,0,0,0,53671,142,0,0,0,0,151,1550,1880,1622,0,0,0,0,4071,4070,4062,4072
1494527466455539448,6,1494527465605810601,,11712,0,0,0,53671,142,0,0,0,0,151,1552,1880,1622,0,0,0,0,4070,4067,4061,4067
1494527466455561101,7,1494527465620356020,,11732,0,0,0,53671,142,0,0,0,0,151,1552,1880,1620,0,0,0,0,4074,4071,4063,4072
1494527466455570934,8,1494527465639282014,,11752,0,0,0,53671,142,0,0,0,0,151,1553,1880,1626,0,0,0,0,4069,4064,4064,4072
1494527466455692078,9,1494527465659298120,,11772,0,0,0,53671,142,0,0,0,0,151,1554,1903,1626,0,0,0,0,4069,4071,4063,4074
1494527466455698789,10,1494527465679918262,,11792,0,0,0,53671,142,0,0,0,0,151,1576,1904,1626,0,0,0,0,4069,4072,4071,4075
1494527466455719504,11,1494527465699343042,,11812,0,0,0,53671,142,0,0,0,0,151,1576,1907,1624,0,0,0,0,4067,4074,4068,4073
1494527466455733112,12,1494527465719370107,,11832,0,0,0,53671,142,0,0,0,0,151,1576,1907,1623,0,0,0,0,4066,4073,4065,4076
1494527466455747698,13,1494527465739189632,,11852,0,0,0,53671,142,0,0,0,0,151,1577,1904,1623,0,0,0,0,4062,4072,4072,4075
1494527466455756064,14,1494527465759311030,,11872,0,0,0,53671,142,0,0,0,0,151,1577,1904,1623,0,0,0,0,4063,4070,4069,4077
1494527466455778650,15,1494527465780506290,,11892,0,0,0,53671,142,0,0,0,0,151,1556,1904,1623,0,0,0,0,4068,4074,4073,4082
1494527466455790437,16,1494527465800867351,,11912,0,0,0,53671,142,0,0,0,0,151,1556,1903,1621,0,0,0,0,4065,4075,4077,4083
1494527466455803087,17,1494527465820234840,,11932,0,0,0,53671,142,0,0,0,0,151,1554,1902,1619,0,0,0,0,4070,4069,4069,4076
1494527466455819592,18,1494527465840342196,,11952,0,0,0,53671,142,0,0,0,0,151,1573,1902,1624,0,0,0,0,4063,4072,4076,4078
1494527466455831734,19,1494527465860162096,,11972,0,0,0,53671,142,0,0,0,0,151,1573,1906,1628,0,0,0,0,4063,4072,4071,4081
1494527466455855305,20,1494527465880368659,,11992,0,0,0,53671,142,0,0,0,0,151,1573,1906,1628,0,0,0,0,4067,4072,4071,4080
1494527466455866823,21,1494527465899355111,,12012,0,0,0,53671,142,0,0,0,0,151,1577,1906,1621,0,0,0,0,4068,4078,4075,4086
1494527466455887564,22,1494527465920010877,,12032,0,0,0,53671,142,0,0,0,0,151,1577,1902,1621,0,0,0,0,4067,4076,4080,4072
1494527466455893440,23,1494527465939404949,,12052,0,0,0,53671,142,0,0,0,0,151,1569,1905,1621,0,0,0,0,4067,4074,4078,4071
1494527466455907177,24,1494527465959120934,,12072,0,0,0,53671,142,0,0,0,0,151,1555,1905,1623,0,0,0,0,4072,4073,4073,4063
1494527466455929205,25,1494527465979091750,,12092,0,0,0,53671,142,0,0,0,0,151,1555,1900,1623,0,0,0,0,4069,4077,4081,4066
1494527466455948425,26,1494527466000271093,,12112,0,0,0,53671,142,0,0,0,0,151,1574,1905,1622,0,0,0,0,4073,4072,4065,4059
1494527466455977024,27,1494527466021099691,,12132,0,0,0,53671,142,0,0,0,0,151,1574,1905,1619,0,0,0,0,4074,4081,4072,4065
1494527466455991373,28,1494527466040336182,,12152,0,0,0,53671,142,0,0,0,0,151,1552,1905,1619,0,0,0,0,4071,4080,4066,4060
1494527466456018642,29,1494527466060180832,,12172,0,0,0,53671,142,0,0,0,0,151,1552,1904,1619,0,0,0,0,4067,4076,4062,4069
1494527466456038095,30,1494527466080331896,,12192,0,0,0,53671,142,0,0,0,0,151,1571,1904,1621,0,0,0,0,4068,4082,4059,4068
1494527466456060346,31,1494527466100276754,,12212,0,0,0,53671,142,0,0,0,0,151,1573,1882,1621,0,0,0,0,4070,4068,4063,4070
1494527466456104522,32,1494527466120316319,,12232,0,0,0,53671,142,0,0,0,0,151,1574,1882,1621,0,0,0,0,4071,4069,4060,4069
1494527466456119586,33,1494527466140830796,,12252,0,0,0,53671,142,0,0,0,0,151,1576,1881,1619,0,0,0,0,4068,4070,4061,4072
1494527466456192409,34,1494527466160123369,,12272,0,0,0,53671,142,0,0,0,0,151,1576,1879,1628,0,0,0,0,4072,4069,4061,4069
1494527466456215577,35,1494527466181017300,,12292,0,0,0,53671,142,0,0,0,0,151,1563,1882,1628,0,0,0,0,4075,4065,4065,4071
1494527466456234615,36,1494527466200183916,,12312,0,0,0,53671,142,0,0,0,0,151,1556,1882,1628,0,0,0,0,4064,4064,4066,4077
1494527466456244048,37,1494527466220229565,,12332,0,0,0,53671,142,0,0,0,0,151,1554,1905,1625,0,0,0,0,4067,4065,4065,4075
1494527466456256479,38,1494527466240154298,,12352,0,0,0,53671,142,0,0,0,0,151,1553,1905,1625,0,0,0,0,4063,4066,4066,4075
1494527466456276915,39,1494527466260396610,,12372,0,0,0,53671,142,0,0,0,0,151,1554,1903,1622,0,0,0,0,4065,4074,4071,4073
1494527466456293488,40,1494527466280058180,,12392,0,0,0,53671,142,0,0,0,0,151,1554,1900,1622,0,0,0,0,4062,4068,4068,4075
1494527466456316842,41,1494527466300057870,,12412,0,0,0,53671,142,0,0,0,0,151,1551,1882,1621,0,0,0,0,4062,4070,4072,4077
1494527466456340013,42,1494527466320328933,,12432,0,0,0,53671,142,0,0,0,0,151,1558,1882,1622,0,0,0,0,4066,4067,4067,4075
1494527466456356674,43,1494527466340097293,,12452,0,0,0,53671,142,0,0,0,0,151,1574,1882,1622,0,0,0,0,4065,4071,4066,4076
1494527466456379035,44,1494527466361888921,,12472,0,0,0,53671,142,0,0,0,0,151,1578,1880,1630,0,0,0,0,4061,4066,4070,4080
1494527466456829779,45,1494527466380098715,,12492,0,0,0,53671,142,0,0,0,0,151,1578,1902,1630,0,0,0,0,4064,4069,4067,4075
1494527466456836154,46,1494527466400471777,,12512,0,0,0,53671,142,0,0,0,0,151,1578,1909,1630,0,0,0,0,4061,4070,4067,4076
1494527466456842996,47,1494527466420240636,,12532,0,0,0,53671,142,0,0,0,0,151,1553,1909,1626,0,0,0,0,4068,4073,4067,4078
1494527466456979166,48,1494527466441962808,,12552,0,0,0,53671,142,0,0,0,0,151,1551,1883,1627,0,0,0,0,4060,4068,4070,4078
1494527466456985767,49,1494527466460467723,,12572,0,0,0,53671,142,0,0,0,0,151,1559,1904,1627,0,0,0,0,4063,4070,4074,4083
1494527466456992658,50,1494527466480394331,,12592,0,0,0,53671,142,0,0,0,0,151,1559,1904,1623,0,0,0,0,4067,4077,4072,4077
1494527466457000220,51,1494527466500734060,,12612,0,0,0,53671,142,0,0,0,0,151,1576,1904,1622,0,0,0,0,4065,4070,4074,4082
1494527466457036045,52,1494527466520129382,,12632,0,0,0,53671,142,0,0,0,0,151,1576,1902,1641,0,0,0,0,4069,4078,4074,4075
1494527466457041443,53,1494527466540128989,,12652,0,0,0,53671,142,0,0,0,0,151,1573,1902,1641,0,0,0,0,4066,4072,4074,4082
1494527466457050691,54,1494527466561028295,,12672,0,0,0,53671,142,0,0,0,0,151,1573,1903,1641,0,0,0,0,4073,4080,4078,4084
1494527466457058790,55,1494527466581062152,,12692,0,0,0,53671,142,0,0,0,0,151,1574,1905,1623,0,0,0,0,4069,4079,4071,4066
1494527466457066632,56,1494527466601120466,,12712,0,0,0,53671,142,0,0,0,0,151,1574,1905,1623,0,0,0,0,4072,4071,4073,4069
1494527466457074569,57,1494527466621073199,,12732,0,0,0,53671,142,0,0,0,0,151,1561,1900,1620,0,0,0,0,4065,4074,4071,4069
1494527466457082572,58,1494527466640892850,,12752,0,0,0,53671,142,0,0,0,0,151,1561,1900,1623,0,0,0,0,4071,4070,4072,4067
1494527466457092918,59,1494527466661031706,,12772,0,0,0,53671,142,0,0,0,0,151,1573,1880,1623,0,0,0,0,4067,4073,4076,4072
1494527466457100304,60,1494527466680909856,,12792,0,0,0,53671,142,0,0,0,0,151,1573,1901,1622,0,0,0,0,4067,4075,4079,4067
1494527466457170785,61,1494527466705660534,,12812,0,0,0,53671,142,0,0,0,0,151,1572,1903,1620,0,0,0,0,4069,4077,4073,4068
1494527466457174064,62,1494527466720994278,,12832,0,0,0,53671,142,0,0,0,0,151,1572,1904,1625,0,0,0,0,4073,4073,4075,4067
1494527466457177319,63,1494527466741190508,,12852,0,0,0,53671,142,0,0,0,0,151,1553,1904,1625,0,0,0,0,4073,4081,4083,4068
1494527466457248164,64,1494527466761273906,,12872,0,0,0,53671,142,0,0,0,0,151,1578,1902,1623,0,0,0,0,4074,4074,4066,4060
1494527466457339216,65,1494527466781482261,,12892,0,0,0,53671,142,0,0,0,0,151,1578,1903,1624,0,0,0,0,4070,4078,4071,4066
1494527466457343831,66,1494527466806046191,,12912,0,0,0,53671,142,0,0,0,0,151,1578,1903,1624,0,0,0,0,4069,4081,4070,4062
1494527466457372885,67,1494527466821184228,,12932,0,0,0,53671,142,0,0,0,0,151,1551,1903,1623,0,0,0,0,4075,4072,4063,4063
