%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2
1494527466456260288,0,1494527466400534526,dock_ir_link,0,0,0
1494527466456283786,1,1494527466420355844,dock_ir_link,0,0,0
1494527466456307200,2,1494527466442321470,dock_ir_link,0,0,0
1494527466456332619,3,1494527466460537098,dock_ir_link,0,0,0
1494527466456345865,4,1494527466480467747,dock_ir_link,0,0,0
1494527466456367683,5,1494527466500809934,dock_ir_link,0,0,0
1494527466456400635,6,1494527466520380171,dock_ir_link,0,0,0
1494527466456448194,7,1494527466540355153,dock_ir_link,0,0,0
1494527466456457175,8,1494527466561278750,dock_ir_link,0,0,0
1494527466456471408,9,1494527466581319815,dock_ir_link,0,0,0
1494527466456477819,10,1494527466601181382,dock_ir_link,0,0,0
1494527466456503104,11,1494527466621130574,dock_ir_link,0,0,0
1494527466456518486,12,1494527466640943516,dock_ir_link,0,0,0
1494527466456528786,13,1494527466661085080,dock_ir_link,0,0,0
1494527466456560406,14,1494527466681139062,dock_ir_link,0,0,0
1494527466456567109,15,1494527466705722617,dock_ir_link,0,0,0
1494527466456609260,16,1494527466721319232,dock_ir_link,0,0,0
1494527466456632826,17,1494527466741236841,dock_ir_link,0,0,0
1494527466456950608,18,1494527466761385238,dock_ir_link,0,0,0
1494527466457046600,19,1494527466781534385,dock_ir_link,0,0,0
1494527466457054729,20,1494527466806116690,dock_ir_link,0,0,0
1494527466457062812,21,1494527466821232353,dock_ir_link,0,0,0
1494527466457070102,22,1494527466841319126,dock_ir_link,0,0,0
1494527466457078578,23,1494527466861832644,dock_ir_link,0,0,0
1494527466457089080,24,1494527466881371965,dock_ir_link,0,0,0
1494527466457096811,25,1494527466901150866,dock_ir_link,0,0,0
1494527466457107420,26,1494527466921693884,dock_ir_link,0,0,0
1494527466463847655,27,1494527466942523398,dock_ir_link,0,0,0
1494527466476284322,28,1494527466961212520,dock_ir_link,0,0,0
1494527466495843427,29,1494527466981083879,dock_ir_link,0,0,0
1494527466516042940,30,1494527467001027945,dock_ir_link,0,0,0
1494527466536627869,31,1494527467021177843,dock_ir_link,0,0,0
1494527466555828198,32,1494527467040958536,dock_ir_link,0,0,0
1494527466580065370,33,1494527467061008976,dock_ir_link,0,0,0
1494527466594456845,34,1494527467080961584,dock_ir_link,0,0,0
1494527466615015394,35,1494527467101061732,dock_ir_link,0,0,0
1494527466636652335,36,1494527467121860831,dock_ir_link,0,0,0
1494527466656532629,37,1494527467142183560,dock_ir_link,0,0,0
1494527466677584970,38,1494527467162455748,dock_ir_link,0,0,0
1494527466695891200,39,1494527467182036443,dock_ir_link,0,0,0
1494527466715475284,40,1494527467201923260,dock_ir_link,0,0,0
1494527466761225461,41,1494527467220836713,dock_ir_link,0,0,0
1494527466777991230,42,1494527467240804613,dock_ir_link,0,0,0
1494527466781513647,43,1494527467262755032,dock_ir_link,0,0,0
1494527466796129874,44,1494527467280936577,dock_ir_link,0,0,0
1494527466816526957,45,1494527467301981047,dock_ir_link,0,0,0
1494527466838109885,46,1494527467321938072,dock_ir_link,0,0,0
1494527466856550091,47,1494527467342967960,dock_ir_link,0,0,0
1494527466875883015,48,1494527467362012036,dock_ir_link,0,0,0
1494527466898370290,49,1494527467382714594,dock_ir_link,0,0,0
1494527466920432760,50,1494527467403408277,dock_ir_link,0,0,0
1494527466936718822,51,1494527467421915735,dock_ir_link,0,0,0
1494527466956481863,52,1494527467441820094,dock_ir_link,0,0,0
1494527466978607140,53,1494527467461822451,dock_ir_link,0,0,0
1494527466996172114,54,1494527467481894808,dock_ir_link,0,0,0
1494527467018835918,55,1494527467502974861,dock_ir_link,0,0,0
1494527467035544697,56,1494527467521855940,dock_ir_link,0,0,0
1494527467056284653,57,1494527467541854464,dock_ir_link,0,0,0
1494527467077939536,58,1494527467562062361,dock_ir_link,0,0,0
1494527467098549209,59,1494527467581907220,dock_ir_link,0,0,0
1494527467121678523,60,1494527467602070243,dock_ir_link,0,0,0
1494527467136303837,61,1494527467621774479,dock_ir_link,0,0,0
