%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494449915487892095,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915536945155,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915587119072,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915637754213,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915691631559,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915736872669,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915787589710,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915837780213,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915887971496,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915941973044,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915988603405,0.0,0.0,0.0,0.0,0.0,-0.33
1494449916037461056,0.0,0.0,0.0,0.0,0.0,-0.33
1494449916088386511,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916137824784,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916187142918,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916238635105,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916287456699,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916341113220,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916387257313,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916437846744,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916486971566,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916540138135,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916587768693,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916637680696,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916687825696,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916737224145,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916786944820,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916836859698,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916887298445,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916936841249,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916987695330,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917037229108,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917087448427,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917137313673,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917189245316,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917237405675,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917286778685,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917337011721,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917387200512,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917437097515,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917486918946,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917537408602,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917601513277,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917636989114,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917686827399,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917740003669,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917788381815,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917837051248,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917887485477,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917937233237,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917986878134,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918037049542,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918087558418,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918138032602,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918187468860,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918444278893,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918444400644,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444407983,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444435405,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918444441010,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918496065474,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918545711834,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918634519996,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918646885094,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918691240429,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918750403935,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918787973333,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918838236122,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918889414131,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918937012502,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449918987951973,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919038316823,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919087719481,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919137139539,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919187619584,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919237103065,0.0,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919288133630,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919337005959,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919398275812,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919438197608,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919497109114,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919549072596,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919588293089,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919651306299,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919688259023,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919737047285,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919787328099,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919837057108,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919893212926,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919937010418,0.05,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449919987507601,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449920037132800,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449920086815519,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449920136623340,0.1,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449920188242329,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494449920238471487,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
