%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1494449908775251572,483,1494449908030119397,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775262977,484,1494449908049191067,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775277613,485,1494449908069007026,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775286303,486,1494449908088982109,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775301525,487,1494449908109890396,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775308162,488,1494449908128959067,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775319884,489,1494449908149000066,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775349934,490,1494449908168873191,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775364637,491,1494449908188887691,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908775383677,492,1494449908210238602,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776817021,493,1494449908229236814,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776824493,494,1494449908249105731,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776848093,495,1494449908270240351,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776860218,496,1494449908289967851,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776884058,497,1494449908308844481,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776907745,498,1494449908328964022,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776931356,499,1494449908349492602,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776946719,500,1494449908368786688,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776961854,501,1494449908389735017,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776976561,502,1494449908409819517,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908776990303,503,1494449908429790683,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777018662,504,1494449908449835766,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777036549,505,1494449908469894807,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777055169,506,1494449908490589387,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777067941,507,1494449908509803557,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777074375,508,1494449908529754515,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777096380,509,1494449908549862348,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777107100,510,1494449908569771889,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777242996,511,1494449908590775968,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777258716,512,1494449908609867680,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777271461,513,1494449908630202053,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777629490,514,1494449908649820054,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494449908777636428,515,1494449908669830596,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
