%time,field.data
1494449908773029571,{ AA 55 4D 01 0F 5C 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0E 06 6F 07 56 06 06 02 00 00 0D 0E 8E 06 8A FF CE FF C0 FF 8A FF D5 FF BE FF 10 10 00 00 F1 0F E2 0F E3 0F EB 0F F0 0F 00 00 00 00 72 }
1494449908773041192,{ AA 55 4D 01 0F 70 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 6F 07 5B 06 06 02 00 00 0D 0E 90 06 89 FF E2 FF BE FF 89 FF EB FF BD FF 10 10 00 00 E5 0F E6 0F E5 0F EF 0F EE 0F 00 00 00 00 30 }
1494449908773050752,{ AA 55 4D 01 0F 84 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 70 07 6F 06 06 02 00 00 0D 0E 92 06 8C FF EA FF BA FF 90 FF E8 FF B5 FF 10 10 00 00 E1 0F EE 0F EA 0F F1 0F EE 0F 00 00 00 00 EB }
1494449908773063359,{ AA 55 53 01 0F 98 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 70 07 6F 06 06 02 00 00 0D 14 94 09 96 FF EB FF B3 FF 99 FF EC FF B7 FF 99 FF E8 FF BD FF 10 10 00 00 EA 0F E8 0F EC 0F F2 0F EE 0F 00 00 00 00 DD }
1494449908773114258,{ AA 55 4D 01 0F AC 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 70 07 6D 06 06 02 00 00 0D 0E 97 06 96 FF E1 FF C0 FF 92 FF DE FF BF FF 10 10 00 00 E6 0F F2 0F F1 0F E8 0F F0 0F 00 00 00 00 97 }
1494449908773134310,{ AA 55 4D 01 0F C0 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 71 07 6E 06 06 02 00 00 0D 0E 99 06 8E FF DC FF BB FF 8A FF D7 FF B8 FF 10 10 00 00 EC 0F EC 0F F8 0F E1 0F EE 0F 00 00 00 00 B4 }
1494449908773154532,{ AA 55 4D 01 0F D4 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 71 07 6F 06 06 02 00 00 0D 0E 9B 06 8A FF D3 FF B8 FF 8E FF D3 FF BB FF 10 10 00 00 EE 0F F3 0F E1 0F DF 0F EE 0F 00 00 00 00 90 }
1494449908773226057,{ AA 55 4D 01 0F E8 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 2D 06 73 07 6F 06 06 02 00 00 0D 0E 9D 06 93 FF D7 FF C3 FF 94 FF D8 FF C9 FF 10 10 00 00 ED 0F ED 0F E6 0F EF 0F ED 0F 00 00 00 00 BB }
1494449908773236917,{ AA 55 4D 01 0F FC 58 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 2D 06 73 07 58 06 06 02 00 00 0D 0E 9F 06 91 FF D4 FF CC FF 8B FF D2 FF CB FF 10 10 00 00 E6 0F E8 0F E3 0F ED 0F EF 0F 00 00 00 00 88 }
1494449908773261867,{ AA 55 4D 01 0F 10 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 6F 07 6D 06 06 02 00 00 0D 0E A1 06 89 FF D6 FF C9 FF 8C FF DF FF C7 FF 10 10 00 00 E0 0F E8 0F E7 0F F1 0F EF 0F 00 00 00 00 48 }
1494449908773266581,{ AA 55 4D 01 0F 24 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 75 07 6D 06 06 02 00 00 0D 0E A3 06 94 FF E9 FF C5 FF 99 FF EE FF C0 FF 10 10 00 00 E8 0F EB 0F E8 0F F1 0F F1 0F 00 00 00 00 72 }
1494449908773273647,{ AA 55 4D 01 0F 38 59 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 29 06 75 07 5B 06 06 02 00 00 0D 0E A5 06 97 FF EE FF B7 FF 8D FF EB FF AC FF 10 10 00 00 E5 0F EF 0F F0 0F F2 0F EE 0F 00 00 00 00 60 }
