%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.bumper,field.wheel_drop,field.cliff,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm,field.buttons,field.charger,field.battery,field.bottom0,field.bottom1,field.bottom2,field.current0,field.current1,field.over_current,field.digital_input,field.analog_input0,field.analog_input1,field.analog_input2,field.analog_input3
1494449908773128747,24,1494449906828639784,,22620,0,0,0,62379,48960,0,0,0,0,157,1550,1903,1622,0,0,0,0,4081,4066,4067,4075
1494449908773154637,25,1494449906848379493,,22640,0,0,0,62379,48960,0,0,0,0,157,1552,1903,1627,0,0,0,0,4069,4070,4069,4079
1494449908773205397,26,1494449906869025532,,22660,0,0,0,62379,48960,0,0,0,0,157,1552,1904,1647,0,0,0,0,4065,4078,4074,4081
1494449908773215709,27,1494449906888286494,,22680,0,0,0,62379,48960,0,0,0,0,157,1553,1904,1647,0,0,0,0,4074,4072,4076,4082
1494449908773243280,28,1494449906908261411,,22700,0,0,0,62379,48960,0,0,0,0,157,1553,1904,1645,0,0,0,0,4070,4082,4081,4072
1494449908773319868,29,1494449906928211286,,22720,0,0,0,62379,48960,0,0,0,0,157,1552,1905,1646,0,0,0,0,4076,4076,4088,4065
1494449908773324866,30,1494449906948297869,,22740,0,0,0,62379,48960,0,0,0,0,157,1554,1905,1647,0,0,0,0,4078,4083,4065,4063
1494449908773542744,31,1494449906968264286,,22760,0,0,0,62379,48960,0,0,0,0,157,1581,1907,1647,0,0,0,0,4077,4077,4070,4079
1494449908773551484,32,1494449906987240874,,22780,0,0,0,62379,48960,0,0,0,0,157,1581,1907,1624,0,0,0,0,4070,4072,4067,4077
1494449908773565576,33,1494449907007260540,,22800,0,0,0,62379,48960,0,0,0,0,157,1552,1903,1645,0,0,0,0,4064,4072,4071,4081
1494449908773572873,34,1494449907027229957,,22820,0,0,0,62379,48960,0,0,0,0,157,1553,1909,1645,0,0,0,0,4072,4075,4072,4081
1494449908773581063,35,1494449907048159995,,22840,0,0,0,62379,48960,0,0,0,0,157,1577,1909,1627,0,0,0,0,4069,4079,4080,4082
1494449908773594340,36,1494449907068129411,,22860,0,0,0,62379,48960,0,0,0,0,157,1577,1904,1623,0,0,0,0,4072,4080,4084,4069
