%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2
1494449908776878223,0,1494449908290166226,dock_ir_link,0,0,0
1494449908776895553,1,1494449908309115813,dock_ir_link,0,0,0
1494449908776925129,2,1494449908329254895,dock_ir_link,0,0,0
1494449908776938181,3,1494449908349837684,dock_ir_link,0,0,0
1494449908776954955,4,1494449908369065062,dock_ir_link,0,0,0
1494449908776970512,5,1494449908389985891,dock_ir_link,0,0,0
1494449908776982248,6,1494449908410173515,dock_ir_link,0,0,0
1494449908777006825,7,1494449908429927766,dock_ir_link,0,0,0
1494449908777024384,8,1494449908450261723,dock_ir_link,0,0,0
1494449908777046757,9,1494449908470277222,dock_ir_link,0,0,0
1494449908777059999,10,1494449908490758303,dock_ir_link,0,0,0
1494449908777071656,11,1494449908510160139,dock_ir_link,0,0,0
1494449908777082928,12,1494449908530126305,dock_ir_link,0,0,0
1494449908777144377,13,1494449908549953597,dock_ir_link,0,0,0
1494449908777157648,14,1494449908570015555,dock_ir_link,0,0,0
1494449908777175229,15,1494449908591043425,dock_ir_link,0,0,0
1494449908777193383,16,1494449908610337428,dock_ir_link,0,0,0
1494449908777206763,17,1494449908630317844,dock_ir_link,0,0,0
1494449908777213153,18,1494449908650274136,dock_ir_link,0,0,0
1494449908777232078,19,1494449908669918762,dock_ir_link,0,0,0
1494449908777241945,20,1494449908691009299,dock_ir_link,0,0,0
1494449908777265718,21,1494449908709996303,dock_ir_link,0,0,0
1494449908777278650,22,1494449908732858624,dock_ir_link,0,0,0
1494449908777622762,23,1494449908750130301,dock_ir_link,0,0,0
1494449908777639775,24,1494449908770995548,dock_ir_link,0,0,0
1494449908777846318,25,1494449908790124884,dock_ir_link,0,0,0
1494449908777920098,26,1494449908814066492,dock_ir_link,0,0,0
1494449908777984376,27,1494449908830323258,dock_ir_link,0,0,0
1494449908798949228,28,1494449908850232091,dock_ir_link,0,0,0
1494449908820440924,29,1494449908871909917,dock_ir_link,0,0,0
1494449908836925601,30,1494449908890464464,dock_ir_link,0,0,0
1494449908860405201,31,1494449908909937341,dock_ir_link,0,0,0
1494449908877622342,32,1494449908929978966,dock_ir_link,0,0,0
1494449908897454987,33,1494449908949904799,dock_ir_link,0,0,0
1494449908917571271,34,1494449908970995586,dock_ir_link,0,0,0
1494449908938005518,35,1494449908991373917,dock_ir_link,0,0,0
1494449908962906053,36,1494449909011850998,dock_ir_link,0,0,0
1494449908978004941,37,1494449909030865543,dock_ir_link,0,0,0
1494449908997404050,38,1494449909050930209,dock_ir_link,0,0,0
1494449909017684491,39,1494449909069881921,dock_ir_link,0,0,0
1494449909037122084,40,1494449909089939171,dock_ir_link,0,0,0
1494449909060218705,41,1494449909109799087,dock_ir_link,0,0,0
1494449909081561728,42,1494449909130523792,dock_ir_link,0,0,0
1494449909098589028,43,1494449909151092497,dock_ir_link,0,0,0
1494449909117572309,44,1494449909170984206,dock_ir_link,0,0,0
1494449909139389801,45,1494449909190942705,dock_ir_link,0,0,0
1494449909158113817,46,1494449909210849205,dock_ir_link,0,0,0
1494449909193559187,47,1494449909230827330,dock_ir_link,0,0,0
1494449909197784810,48,1494449909251008412,dock_ir_link,0,0,0
1494449909217384081,49,1494449909271078536,dock_ir_link,0,0,0
1494449909243068715,50,1494449909290930244,dock_ir_link,0,0,0
1494449909257801493,51,1494449909310941952,dock_ir_link,0,0,0
1494449909278179831,52,1494449909330838202,dock_ir_link,0,0,0
1494449909301198862,53,1494449909352389362,dock_ir_link,0,0,0
1494449909319184655,54,1494449909371234574,dock_ir_link,0,0,0
1494449909343794901,55,1494449909394183478,dock_ir_link,0,0,0
1494449909360553081,56,1494449909412600067,dock_ir_link,0,0,0
1494449909379376742,57,1494449909430694200,dock_ir_link,0,0,0
1494449909397958187,58,1494449909450885948,dock_ir_link,0,0,0
1494449909418228192,59,1494449909470766365,dock_ir_link,0,0,0
1494449909439039947,60,1494449909490967989,dock_ir_link,0,0,0
1494449909486590278,61,1494449909513526394,dock_ir_link,0,0,0
1494449909492446383,62,1494449909531651943,dock_ir_link,0,0,0
