%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494526715252338062,0.05,0.0,0.0,0.0,0.0,0.0
1494526715304960439,0.05,0.0,0.0,0.0,0.0,0.0
1494526715352422951,0.05,0.0,0.0,0.0,0.0,0.0
1494526715404112015,0.05,0.0,0.0,0.0,0.0,0.0
1494526715451193307,0.05,0.0,0.0,0.0,0.0,0.0
1494526715501601629,0.05,0.0,0.0,0.0,0.0,0.0
1494526715551313813,0.05,0.0,0.0,0.0,0.0,0.0
1494526715603799978,0.05,0.0,0.0,0.0,0.0,0.0
1494526715651242355,0.05,0.0,0.0,0.0,0.0,0.0
1494526715706463179,0.05,0.0,0.0,0.0,0.0,0.0
1494526715751840313,0.05,0.0,0.0,0.0,0.0,0.0
1494526715809132385,0.05,0.0,0.0,0.0,0.0,0.0
1494526715862518125,0.1,0.0,0.0,0.0,0.0,0.0
1494526715901683361,0.1,0.0,0.0,0.0,0.0,0.0
1494526715951622660,0.1,0.0,0.0,0.0,0.0,0.0
1494526716001331145,0.1,0.0,0.0,0.0,0.0,0.0
1494526716052053498,0.1,0.0,0.0,0.0,0.0,0.0
1494526716102229583,0.1,0.0,0.0,0.0,0.0,0.0
1494526716151190345,0.1,0.0,0.0,0.0,0.0,0.0
1494526716201235283,0.1,0.0,0.0,0.0,0.0,0.0
1494526716251112448,0.15,0.0,0.0,0.0,0.0,0.0
1494526716301990773,0.15,0.0,0.0,0.0,0.0,0.0
1494526716352102016,0.15,0.0,0.0,0.0,0.0,0.0
1494526716401922696,0.15,0.0,0.0,0.0,0.0,0.0
1494526716453085776,0.15,0.0,0.0,0.0,0.0,0.0
1494526716501486414,0.15,0.0,0.0,0.0,0.0,0.0
1494526716563759960,0.15,0.0,0.0,0.0,0.0,0.0
1494526716605155491,0.15,0.0,0.0,0.0,0.0,0.0
1494526716657104773,0.15,0.0,0.0,0.0,0.0,0.0
1494526716701324940,0.15,0.0,0.0,0.0,0.0,0.0
1494526716752578323,0.15,0.0,0.0,0.0,0.0,0.0
1494526716801100957,0.15,0.0,0.0,0.0,0.0,0.0
1494526716864353725,0.15,0.0,0.0,0.0,0.0,0.0
1494526716901697422,0.15,0.0,0.0,0.0,0.0,0.0
1494526716951836048,0.2,0.0,0.0,0.0,0.0,0.0
1494526717001383308,0.2,0.0,0.0,0.0,0.0,0.0
1494526717052218781,0.2,0.0,0.0,0.0,0.0,0.0
1494526717101313279,0.2,0.0,0.0,0.0,0.0,0.0
1494526717151369271,0.2,0.0,0.0,0.0,0.0,0.0
1494526717201990721,0.2,0.0,0.0,0.0,0.0,0.0
1494526717251587960,0.2,0.0,0.0,0.0,0.0,0.0
1494526717301617193,0.2,0.0,0.0,0.0,0.0,0.0
1494526717351075197,0.25,0.0,0.0,0.0,0.0,0.0
1494526717404897380,0.25,0.0,0.0,0.0,0.0,0.0
1494526717451153663,0.25,0.0,0.0,0.0,0.0,0.0
1494526717502450729,0.25,0.0,0.0,0.0,0.0,0.0
1494526717551691064,0.25,0.0,0.0,0.0,0.0,0.0
1494526717601864374,0.25,0.0,0.0,0.0,0.0,0.0
1494526717652514066,0.25,0.0,0.0,0.0,0.0,0.0
1494526717702306066,0.25,0.0,0.0,0.0,0.0,0.0
1494526717753161185,0.25,0.0,0.0,0.0,0.0,0.0
1494526717801725482,0.25,0.0,0.0,0.0,0.0,0.0
1494526717857440771,0.25,0.0,0.0,0.0,0.0,0.0
1494526717901497186,0.25,0.0,0.0,0.0,0.0,0.0
1494526717951138241,0.25,0.0,0.0,0.0,0.0,0.0
1494526718001405796,0.25,0.0,0.0,0.0,0.0,0.0
1494526718051294873,0.25,0.0,0.0,0.0,0.0,0.0
1494526718102247104,0.25,0.0,0.0,0.0,0.0,0.0
1494526718151076571,0.25,0.0,0.0,0.0,0.0,0.0
1494526718204195449,0.25,0.0,0.0,0.0,0.0,0.0
1494526718255555693,0.25,0.0,0.0,0.0,0.0,0.0
1494526718303044426,0.25,0.0,0.0,0.0,0.0,0.0
1494526718351458175,0.25,0.0,0.0,0.0,0.0,0.0
1494526718401813544,0.25,0.0,0.0,0.0,0.0,0.0
1494526718451274449,0.25,0.0,0.0,0.0,0.0,0.0
1494526718502706167,0.25,0.0,0.0,0.0,0.0,0.0
1494526718551152575,0.3,0.0,0.0,0.0,0.0,0.0
1494526718601869875,0.3,0.0,0.0,0.0,0.0,0.0
1494526718651711271,0.3,0.0,0.0,0.0,0.0,0.0
1494526718701245115,0.3,0.0,0.0,0.0,0.0,0.0
1494526718751695431,0.3,0.0,0.0,0.0,0.0,0.0
1494526718801688933,0.3,0.0,0.0,0.0,0.0,0.0
1494526718851288615,0.3,0.0,0.0,0.0,0.0,0.0
1494526718902663142,0.3,0.0,0.0,0.0,0.0,0.0
1494526718951180434,0.3,0.0,0.0,0.0,0.0,0.0
1494526719001302634,0.3,0.0,0.0,0.0,0.0,0.0
1494526719051403636,0.3,0.0,0.0,0.0,0.0,0.0
1494526719103056055,0.3,0.0,0.0,0.0,0.0,0.0
1494526719155762796,0.3,0.0,0.0,0.0,0.0,0.0
1494526719201997636,0.3,0.0,0.0,0.0,0.0,0.0
1494526719253001251,0.3,0.0,0.0,0.0,0.0,0.0
1494526719302903985,0.3,0.0,0.0,0.0,0.0,0.0
1494526719351120602,0.3,0.0,0.0,0.0,0.0,0.0
1494526719401168311,0.3,0.0,0.0,0.0,0.0,0.0
1494526719455303239,0.3,0.0,0.0,0.0,0.0,0.0
1494526719503449888,0.3,0.0,0.0,0.0,0.0,0.0
1494526719551281701,0.3,0.0,0.0,0.0,0.0,0.0
1494526719601545432,0.3,0.0,0.0,0.0,0.0,0.0
1494526719650969200,0.3,0.0,0.0,0.0,0.0,0.0
1494526719709447810,0.3,0.0,0.0,0.0,0.0,0.0
1494526719753689118,0.3,0.0,0.0,0.0,0.0,0.0
1494526719801348548,0.3,0.0,0.0,0.0,0.0,0.0
1494526719851317039,0.3,0.0,0.0,0.0,0.0,0.0
1494526719909917321,0.3,0.0,0.0,0.0,0.0,0.0
1494526719951568162,0.3,0.0,0.0,0.0,0.0,0.0
1494526720023197582,0.3,0.0,0.0,0.0,0.0,0.0
1494526720051858593,0.3,0.0,0.0,0.0,0.0,0.0
1494526720102458620,0.3,0.0,0.0,0.0,0.0,0.0
1494526720151042350,0.3,0.0,0.0,0.0,0.0,0.0
1494526720201520659,0.3,0.0,0.0,0.0,0.0,0.0
1494526720251527658,0.3,0.0,0.0,0.0,0.0,0.0
1494526720301708914,0.3,0.0,0.0,0.0,0.0,0.0
1494526720351554218,0.3,0.0,0.0,0.0,0.0,0.0
1494526720401502789,0.3,0.0,0.0,0.0,0.0,0.0
1494526720450927654,0.3,0.0,0.0,0.0,0.0,0.0
1494526720501542622,0.3,0.0,0.0,0.0,0.0,0.0
1494526720552227970,0.3,0.0,0.0,0.0,0.0,0.0
1494526720601389490,0.3,0.0,0.0,0.0,0.0,0.0
1494526720665058816,0.3,0.0,0.0,0.0,0.0,0.0
1494526720718429122,0.3,0.0,0.0,0.0,0.0,0.0
1494526720753090776,0.3,0.0,0.0,0.0,0.0,0.0
1494526720802567380,0.3,0.0,0.0,0.0,0.0,0.0
1494526720856179347,0.3,0.0,0.0,0.0,0.0,0.0
1494526720902586541,0.3,0.0,0.0,0.0,0.0,0.0
1494526720953116108,0.3,0.0,0.0,0.0,0.0,0.0
1494526721004517558,0.3,0.0,0.0,0.0,0.0,0.0
1494526721052621736,0.3,0.0,0.0,0.0,0.0,0.0
1494526721101245040,0.3,0.0,0.0,0.0,0.0,0.0
1494526721151673951,0.3,0.0,0.0,0.0,0.0,0.0
1494526721201217337,0.3,0.0,0.0,0.0,0.0,0.0
1494526721251093412,0.3,0.0,0.0,0.0,0.0,0.0
1494526721301176678,0.3,0.0,0.0,0.0,0.0,0.0
1494526721379875696,0.3,0.0,0.0,0.0,0.0,0.0
1494526721401039942,0.3,0.0,0.0,0.0,0.0,0.0
1494526721452004287,0.3,0.0,0.0,0.0,0.0,0.0
1494526721501495292,0.3,0.0,0.0,0.0,0.0,0.0
1494526721554972151,0.3,0.0,0.0,0.0,0.0,0.0
1494526721602164728,0.3,0.0,0.0,0.0,0.0,0.0
1494526721651043927,0.3,0.0,0.0,0.0,0.0,0.0
1494526721701261651,0.3,0.0,0.0,0.0,0.0,0.0
1494526721751051249,0.3,0.0,0.0,0.0,0.0,0.0
1494526721801176344,0.3,0.0,0.0,0.0,0.0,0.0
1494526721852406806,0.3,0.0,0.0,0.0,0.0,0.0
1494526721901356121,0.3,0.0,0.0,0.0,0.0,0.0
1494526721954682413,0.3,0.0,0.0,0.0,0.0,0.0
1494526722001432881,0.3,0.0,0.0,0.0,0.0,0.0
1494526722056804777,0.3,0.0,0.0,0.0,0.0,0.0
1494526722101637112,0.3,0.0,0.0,0.0,0.0,0.0
1494526722157509740,0.3,0.0,0.0,0.0,0.0,0.0
1494526722201905468,0.3,0.0,0.0,0.0,0.0,0.0
1494526722250934640,0.3,0.0,0.0,0.0,0.0,0.0
1494526722301296474,0.3,0.0,0.0,0.0,0.0,0.0
1494526722351999256,0.3,0.0,0.0,0.0,0.0,0.0
1494526722403906597,0.3,0.0,0.0,0.0,0.0,0.0
1494526722454910248,0.3,0.0,0.0,0.0,0.0,0.0
1494526722501798066,0.3,0.0,0.0,0.0,0.0,0.0
1494526722553257632,0.3,0.0,0.0,0.0,0.0,0.0
1494526722601456211,0.3,0.0,0.0,0.0,0.0,0.0
1494526722651009514,0.3,0.0,0.0,0.0,0.0,0.0
1494526722703048871,0.3,0.0,0.0,0.0,0.0,0.0
1494526722757137592,0.3,0.0,0.0,0.0,0.0,0.0
1494526722803743163,0.3,0.0,0.0,0.0,0.0,0.0
1494526722851639666,0.3,0.0,0.0,0.0,0.0,0.0
1494526722904993178,0.3,0.0,0.0,0.0,0.0,0.0
1494526722953961141,0.3,0.0,0.0,0.0,0.0,0.0
1494526723001153165,0.3,0.0,0.0,0.0,0.0,0.0
1494526723056156724,0.3,0.0,0.0,0.0,0.0,0.0
1494526723103616354,0.3,0.0,0.0,0.0,0.0,0.0
1494526723151825707,0.3,0.0,0.0,0.0,0.0,0.0
1494526723201349064,0.3,0.0,0.0,0.0,0.0,0.0
1494526723254409819,0.3,0.0,0.0,0.0,0.0,0.0
1494526723301813892,0.3,0.0,0.0,0.0,0.0,0.0
1494526723353148283,0.3,0.0,0.0,0.0,0.0,0.0
1494526723401293260,0.3,0.0,0.0,0.0,0.0,0.0
1494526723452463964,0.3,0.0,0.0,0.0,0.0,0.0
1494526723501830980,0.3,0.0,0.0,0.0,0.0,0.0
1494526723557830253,0.3,0.0,0.0,0.0,0.0,0.0
1494526723610924019,0.3,0.0,0.0,0.0,0.0,0.0
1494526723651236465,0.3,0.0,0.0,0.0,0.0,0.0
1494526723703605244,0.3,0.0,0.0,0.0,0.0,0.0
1494526723756211101,0.3,0.0,0.0,0.0,0.0,0.0
1494526723801630078,0.3,0.0,0.0,0.0,0.0,0.0
1494526723852536766,0.3,0.0,0.0,0.0,0.0,0.0
1494526723903128088,0.3,0.0,0.0,0.0,0.0,0.0
1494526723952679232,0.3,0.0,0.0,0.0,0.0,0.0
1494526724001363448,0.3,0.0,0.0,0.0,0.0,0.0
1494526724054096737,0.3,0.0,0.0,0.0,0.0,0.0
1494526724104298912,0.3,0.0,0.0,0.0,0.0,0.0
1494526724154976011,0.25,0.0,0.0,0.0,0.0,0.0
1494526724204293371,0.25,0.0,0.0,0.0,0.0,0.0
1494526724251795588,0.25,0.0,0.0,0.0,0.0,0.0
1494526724301233832,0.25,0.0,0.0,0.0,0.0,0.0
1494526724352779605,0.2,0.0,0.0,0.0,0.0,0.0
1494526724402785724,0.2,0.0,0.0,0.0,0.0,0.0
1494526724451663481,0.15,0.0,0.0,0.0,0.0,0.0
1494526724502333343,0.15,0.0,0.0,0.0,0.0,0.0
1494526724554187876,0.15,0.0,0.0,0.0,0.0,0.0
1494526724601161016,0.15,0.0,0.0,0.0,0.0,0.0
1494526724652974276,0.15,0.0,0.0,0.0,0.0,0.0
1494526724701526308,0.15,0.0,0.0,0.0,0.0,0.0
1494526724751511428,0.15,0.0,0.0,0.0,0.0,0.0
1494526724801201599,0.15,0.0,0.0,0.0,0.0,0.0
1494526724853390564,0.15,0.0,0.0,0.0,0.0,0.0
1494526724901808716,0.15,0.0,0.0,0.0,0.0,0.0
1494526724955162639,0.15,0.0,0.0,0.0,0.0,0.0
1494526725001164524,0.15,0.0,0.0,0.0,0.0,0.0
1494526725055061942,0.15,0.0,0.0,0.0,0.0,0.0
1494526725103047208,0.15,0.0,0.0,0.0,0.0,0.0
1494526725151485332,0.15,0.0,0.0,0.0,0.0,-0.33
1494526725201035645,0.15,0.0,0.0,0.0,0.0,-0.33
1494526725254188779,0.15,0.0,0.0,0.0,0.0,-0.33
1494526725301010198,0.15,0.0,0.0,0.0,0.0,-0.33
1494526725351466028,0.15,0.0,0.0,0.0,0.0,-0.66
1494526725401405024,0.15,0.0,0.0,0.0,0.0,-0.66
1494526725451435943,0.15,0.0,0.0,0.0,0.0,-0.66
1494526725501612012,0.15,0.0,0.0,0.0,0.0,-0.66
1494526725557357584,0.15,0.0,0.0,0.0,0.0,-0.99
1494526725602063464,0.15,0.0,0.0,0.0,0.0,-0.99
1494526725674186012,0.15,0.0,0.0,0.0,0.0,-0.99
1494526725710436048,0.15,0.0,0.0,0.0,0.0,-0.99
1494526725756058164,0.15,0.0,0.0,0.0,0.0,-1.32
1494526725806183659,0.15,0.0,0.0,0.0,0.0,-1.32
1494526725851892430,0.15,0.0,0.0,0.0,0.0,-1.32
1494526725902000966,0.15,0.0,0.0,0.0,0.0,-1.32
1494526725984532501,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726001701656,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726060099762,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726101073758,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726154644419,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726201268457,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726253398418,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726301054407,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726354773875,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726400976583,0.15,0.0,0.0,0.0,0.0,-1.32
1494526726451958357,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726502112727,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726551784494,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726601026219,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726651301862,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726701316692,0.15,0.0,0.0,0.0,0.0,-0.99
1494526726752670386,0.15,0.0,0.0,0.0,0.0,-0.66
1494526726802669516,0.15,0.0,0.0,0.0,0.0,-0.66
1494526726852552075,0.15,0.0,0.0,0.0,0.0,-0.66
1494526726901396460,0.15,0.0,0.0,0.0,0.0,-0.66
1494526726951265497,0.15,0.0,0.0,0.0,0.0,-0.66
1494526727002011520,0.15,0.0,0.0,0.0,0.0,-0.66
1494526727051916799,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727103006778,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727152349539,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727203441541,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727252116366,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727300965097,0.15,0.0,0.0,0.0,0.0,-0.33
1494526727351038907,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494526727408658788,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494526727451677471,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494526727501327927,0.15,0.0,0.0,0.0,0.0,1.11022302463e-16
1494526727552350764,0.15,0.0,0.0,0.0,0.0,0.33
