%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494526715216172462,0.05,0.0,0.0,0.0,0.0,0.0
1494526715315646971,0.05,0.0,0.0,0.0,0.0,0.0
1494526715417368126,0.05,0.0,0.0,0.0,0.0,0.0
1494526715515835970,0.05,0.0,0.0,0.0,0.0,0.0
1494526715615217399,0.05,0.0,0.0,0.0,0.0,0.0
1494526715715629792,0.05,0.0,0.0,0.0,0.0,0.0
1494526715815571186,0.1,0.0,0.0,0.0,0.0,0.0
1494526715915552719,0.1,0.0,0.0,0.0,0.0,0.0
1494526716015055302,0.1,0.0,0.0,0.0,0.0,0.0
1494526716117016045,0.1,0.0,0.0,0.0,0.0,0.0
1494526716219940035,0.15,0.0,0.0,0.0,0.0,0.0
1494526716319275955,0.15,0.0,0.0,0.0,0.0,0.0
1494526716415267916,0.15,0.0,0.0,0.0,0.0,0.0
1494526716515769792,0.15,0.0,0.0,0.0,0.0,0.0
1494526716615452292,0.15,0.0,0.0,0.0,0.0,0.0
1494526716715426306,0.15,0.0,0.0,0.0,0.0,0.0
1494526716816504016,0.15,0.0,0.0,0.0,0.0,0.0
1494526716914940527,0.2,0.0,0.0,0.0,0.0,0.0
1494526717014960633,0.2,0.0,0.0,0.0,0.0,0.0
1494526717115261578,0.2,0.0,0.0,0.0,0.0,0.0
1494526717215048989,0.2,0.0,0.0,0.0,0.0,0.0
1494526717315731871,0.25,0.0,0.0,0.0,0.0,0.0
1494526717414936378,0.25,0.0,0.0,0.0,0.0,0.0
1494526717515284355,0.25,0.0,0.0,0.0,0.0,0.0
1494526717615573706,0.25,0.0,0.0,0.0,0.0,0.0
1494526717715510630,0.25,0.0,0.0,0.0,0.0,0.0
1494526717815135441,0.25,0.0,0.0,0.0,0.0,0.0
1494526717915204033,0.25,0.0,0.0,0.0,0.0,0.0
1494526718015057324,0.25,0.0,0.0,0.0,0.0,0.0
1494526718115045542,0.25,0.0,0.0,0.0,0.0,0.0
1494526718215998784,0.25,0.0,0.0,0.0,0.0,0.0
1494526718317456161,0.25,0.0,0.0,0.0,0.0,0.0
1494526718415104551,0.25,0.0,0.0,0.0,0.0,0.0
1494526718515541553,0.3,0.0,0.0,0.0,0.0,0.0
1494526718614863625,0.3,0.0,0.0,0.0,0.0,0.0
1494526718717509373,0.3,0.0,0.0,0.0,0.0,0.0
1494526718815142279,0.3,0.0,0.0,0.0,0.0,0.0
1494526718915352538,0.3,0.0,0.0,0.0,0.0,0.0
1494526719016203369,0.3,0.0,0.0,0.0,0.0,0.0
1494526719115933187,0.3,0.0,0.0,0.0,0.0,0.0
1494526719216501213,0.3,0.0,0.0,0.0,0.0,0.0
1494526719315465027,0.3,0.0,0.0,0.0,0.0,0.0
1494526719414860381,0.3,0.0,0.0,0.0,0.0,0.0
1494526719515670479,0.3,0.0,0.0,0.0,0.0,0.0
1494526719622696269,0.3,0.0,0.0,0.0,0.0,0.0
1494526719715005832,0.3,0.0,0.0,0.0,0.0,0.0
1494526719822760519,0.3,0.0,0.0,0.0,0.0,0.0
1494526719915067009,0.3,0.0,0.0,0.0,0.0,0.0
1494526720024323895,0.3,0.0,0.0,0.0,0.0,0.0
1494526720115456231,0.3,0.0,0.0,0.0,0.0,0.0
1494526720215261032,0.3,0.0,0.0,0.0,0.0,0.0
1494526720315573787,0.3,0.0,0.0,0.0,0.0,0.0
1494526720417267645,0.3,0.0,0.0,0.0,0.0,0.0
1494526720528287946,0.3,0.0,0.0,0.0,0.0,0.0
1494526720614977487,0.3,0.0,0.0,0.0,0.0,0.0
1494526720742158773,0.3,0.0,0.0,0.0,0.0,0.0
