%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494526715254130258,0.05,0.0,0.0,0.0,0.0,0.0
1494526715305051524,0.05,0.0,0.0,0.0,0.0,0.0
1494526715352440402,0.05,0.0,0.0,0.0,0.0,0.0
1494526715404260710,0.05,0.0,0.0,0.0,0.0,0.0
1494526715451674406,0.05,0.0,0.0,0.0,0.0,0.0
1494526715501601625,0.05,0.0,0.0,0.0,0.0,0.0
1494526715551353219,0.05,0.0,0.0,0.0,0.0,0.0
1494526715603840584,0.05,0.0,0.0,0.0,0.0,0.0
1494526715651255776,0.05,0.0,0.0,0.0,0.0,0.0
1494526715706463396,0.05,0.0,0.0,0.0,0.0,0.0
1494526715752396272,0.05,0.0,0.0,0.0,0.0,0.0
1494526715809302568,0.05,0.0,0.0,0.0,0.0,0.0
1494526715862525908,0.1,0.0,0.0,0.0,0.0,0.0
1494526715901701272,0.1,0.0,0.0,0.0,0.0,0.0
1494526715951837170,0.1,0.0,0.0,0.0,0.0,0.0
1494526716001331157,0.1,0.0,0.0,0.0,0.0,0.0
1494526716052715888,0.1,0.0,0.0,0.0,0.0,0.0
1494526716102248892,0.1,0.0,0.0,0.0,0.0,0.0
1494526716151191006,0.1,0.0,0.0,0.0,0.0,0.0
1494526716201297433,0.1,0.0,0.0,0.0,0.0,0.0
1494526716251165430,0.15,0.0,0.0,0.0,0.0,0.0
1494526716302947553,0.15,0.0,0.0,0.0,0.0,0.0
1494526716352158883,0.15,0.0,0.0,0.0,0.0,0.0
1494526716401922692,0.15,0.0,0.0,0.0,0.0,0.0
1494526716453118047,0.15,0.0,0.0,0.0,0.0,0.0
1494526716501486409,0.15,0.0,0.0,0.0,0.0,0.0
1494526716563811945,0.15,0.0,0.0,0.0,0.0,0.0
1494526716605213301,0.15,0.0,0.0,0.0,0.0,0.0
1494526716657104779,0.15,0.0,0.0,0.0,0.0,0.0
1494526716701324927,0.15,0.0,0.0,0.0,0.0,0.0
1494526716752611486,0.15,0.0,0.0,0.0,0.0,0.0
1494526716801119984,0.15,0.0,0.0,0.0,0.0,0.0
1494526716864373288,0.15,0.0,0.0,0.0,0.0,0.0
1494526716901718079,0.15,0.0,0.0,0.0,0.0,0.0
1494526716951836035,0.2,0.0,0.0,0.0,0.0,0.0
1494526717001401195,0.2,0.0,0.0,0.0,0.0,0.0
1494526717052833614,0.2,0.0,0.0,0.0,0.0,0.0
1494526717101331046,0.2,0.0,0.0,0.0,0.0,0.0
1494526717151388393,0.2,0.0,0.0,0.0,0.0,0.0
1494526717201990724,0.2,0.0,0.0,0.0,0.0,0.0
1494526717251656338,0.2,0.0,0.0,0.0,0.0,0.0
1494526717301624844,0.2,0.0,0.0,0.0,0.0,0.0
1494526717351131079,0.25,0.0,0.0,0.0,0.0,0.0
1494526717404954728,0.25,0.0,0.0,0.0,0.0,0.0
1494526717451177872,0.25,0.0,0.0,0.0,0.0,0.0
1494526717502553179,0.25,0.0,0.0,0.0,0.0,0.0
1494526717551705336,0.25,0.0,0.0,0.0,0.0,0.0
1494526717601863998,0.25,0.0,0.0,0.0,0.0,0.0
1494526717652531573,0.25,0.0,0.0,0.0,0.0,0.0
