%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494526700934216826,0,0,0,0,0
1494526700934223596,0,0,0,0,0
1494526700934229333,0,0,0,0,0
1494526700934236775,0,0,0,0,0
1494526700934245715,0,0,0,0,0
1494526700934252279,0,0,0,0,0
1494526700934258608,0,0,0,0,0
1494526700934265747,0,0,0,0,0
1494526700934271608,0,0,0,0,0
1494526700934277209,0,0,0,0,0
1494526700934284420,0,0,0,0,0
1494526700934304925,0,0,0,0,0
1494526700934309999,0,0,0,0,0
1494526700934316657,0,0,0,0,0
1494526700934322894,0,0,0,0,0
1494526700934334400,0,0,0,0,0
1494526700934340873,0,0,0,0,0
1494526700934346365,0,0,0,0,0
1494526700934351354,0,0,0,0,0
1494526700934357436,0,0,0,0,0
1494526700935641618,0,0,0,0,0
1494526700935648020,0,0,0,0,0
1494526700935655089,0,0,0,0,0
1494526700935660849,0,0,0,0,0
1494526700935666155,0,0,0,0,0
1494526700935673227,0,0,0,0,0
1494526700935679708,0,0,0,0,0
1494526700935688610,0,0,0,0,0
1494526700935695358,0,0,0,0,0
1494526700935702698,0,0,0,0,0
1494526700935710070,0,0,0,0,0
1494526700935715975,0,0,0,0,0
1494526700935722559,0,0,0,0,0
1494526700935729043,0,0,0,0,0
1494526700935735351,0,0,0,0,0
1494526700935741769,0,0,0,0,0
1494526700936460338,0,0,0,0,0
1494526700936466281,0,0,0,0,0
1494526700936471934,0,0,0,0,0
1494526700936479304,0,0,0,0,0
1494526700936487171,0,0,0,0,0
1494526700936494619,0,0,0,0,0
1494526700936501442,0,0,0,0,0
1494526700936507445,0,0,0,0,0
1494526700936513703,0,0,0,0,0
1494526700936520311,0,0,0,0,0
1494526700936528627,0,0,0,0,0
1494526700937111054,0,0,0,0,0
1494526700937117666,0,0,0,0,0
1494526700937124980,0,0,0,0,0
1494526700937131922,0,0,0,0,0
1494526700937137771,0,0,0,0,0
1494526700937143381,0,0,0,0,0
1494526700937152611,0,0,0,0,0
1494526700937159864,0,0,0,0,0
1494526700937171816,0,0,0,0,0
1494526700937177209,0,0,0,0,0
1494526700937644126,0,0,0,0,0
1494526700937650191,0,0,0,0,0
1494526700937657875,0,0,0,0,0
1494526700937664424,0,0,0,0,0
1494526700937670890,0,0,0,0,0
1494526700937677219,0,0,0,0,0
1494526700937683607,0,0,0,0,0
1494526700937689007,0,0,0,0,0
1494526700937695723,0,0,0,0,0
1494526700937707554,0,0,0,0,0
1494526700938014056,0,0,0,0,0
1494526700938022922,0,0,0,0,0
1494526700938028280,0,0,0,0,0
1494526700938039992,0,0,0,0,0
1494526700938046360,0,0,0,0,0
1494526700938054289,0,0,0,0,0
1494526700938062746,0,0,0,0,0
1494526700938313668,0,0,0,0,0
1494526700938320721,0,0,0,0,0
1494526700938327407,0,0,0,0,0
1494526700938333778,0,0,0,0,0
1494526700938558332,0,0,0,0,0
1494526700938563925,0,0,0,0,0
1494526700938570430,0,0,0,0,0
1494526700938577085,0,0,0,0,0
1494526700938583475,0,0,0,0,0
1494526700938651915,0,0,0,0,0
1494526700938751548,0,0,0,0,0
1494526700938758474,0,0,0,0,0
1494526700938764866,0,0,0,0,0
1494526700938913542,0,0,0,0,0
