%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.instance_id,field.active,field.heartbeat_timeout,field.heartbeat_period
1494526700934757509,65,1494526699447151904,,/keyop_vel_smoother_6b848a96-f992-4df2-9bed-db3cd350a503,2960da2f-c109-46eb-bd8a-3bcb8dc532e1,1,4.0,1.0
1494526700934795467,265,1494526699471114355,,/cmd_vel_mux_4c9e37bd-60c0-494c-922c-73b5f355f793,679a89d4-2044-42a2-b4c3-419ad378ce44,1,4.0,1.0
1494526700934810164,66,1494526699739662737,,/cmd_vel_mux_4c9e37bd-60c0-494c-922c-73b5f355f793,b6436aa3-a808-4208-8c95-6d81404cf2dc,1,4.0,1.0
1494526700934820626,266,1494526699819978945,,/mobile_base_062927ec-4829-4201-a0d8-b446cffb4b29,b757e652-6566-4f36-a9f2-7923fa4a2f5b,1,4.0,1.0
1494526700934829061,267,1494526699906713481,,/kobuki_safety_controller_a0cfa602-9587-4ece-85cb-f38e821754b5,4ade8f73-1db6-4ed9-9b24-7a9485fce507,1,4.0,1.0
1494526700934857951,67,1494526699948495469,,/mobile_base_062927ec-4829-4201-a0d8-b446cffb4b29,6dc944d8-6cc1-46ca-a217-ffbc77fdb03c,1,4.0,1.0
1494526700934981352,66,1494526700074256347,,/kobuki_safety_controller_a0cfa602-9587-4ece-85cb-f38e821754b5,076e5ee2-4de9-4413-99f1-a1c9f2c01a27,1,4.0,1.0
1494526700935006261,66,1494526700449349038,,/keyop_vel_smoother_6b848a96-f992-4df2-9bed-db3cd350a503,2960da2f-c109-46eb-bd8a-3bcb8dc532e1,1,4.0,1.0
1494526700935085491,268,1494526700307534027,,/keyop_vel_smoother_6b848a96-f992-4df2-9bed-db3cd350a503,9eab4b58-b21f-4744-8984-aa8c853e8e84,1,4.0,1.0
1494526700935105944,269,1494526700471155796,,/cmd_vel_mux_4c9e37bd-60c0-494c-922c-73b5f355f793,679a89d4-2044-42a2-b4c3-419ad378ce44,1,4.0,1.0
1494526700935113933,67,1494526700742477450,,/cmd_vel_mux_4c9e37bd-60c0-494c-922c-73b5f355f793,b6436aa3-a808-4208-8c95-6d81404cf2dc,1,4.0,1.0
1494526700935132056,270,1494526700819685430,,/mobile_base_062927ec-4829-4201-a0d8-b446cffb4b29,b757e652-6566-4f36-a9f2-7923fa4a2f5b,1,4.0,1.0
