%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2
1494526700934696454,40,1494526699438414634,dock_ir_link,0,0,0
1494526700934705114,41,1494526699459106942,dock_ir_link,0,0,0
1494526700934712395,42,1494526699479318087,dock_ir_link,0,0,0
1494526700934717938,43,1494526699499290109,dock_ir_link,0,0,0
1494526700934723795,44,1494526699519076256,dock_ir_link,0,0,0
1494526700934730555,45,1494526699539083444,dock_ir_link,0,0,0
1494526700934736543,46,1494526699559267339,dock_ir_link,0,0,0
1494526700934743421,47,1494526699579277736,dock_ir_link,0,0,0
1494526700934749880,48,1494526699599388006,dock_ir_link,0,0,0
1494526700934758414,49,1494526699619443735,dock_ir_link,0,0,0
1494526700934770627,50,1494526699645636920,dock_ir_link,0,0,0
1494526700934776013,51,1494526699660285439,dock_ir_link,0,0,0
1494526700934782116,52,1494526699679305967,dock_ir_link,0,0,0
1494526700934787968,53,1494526699699302905,dock_ir_link,0,0,0
1494526700934794978,54,1494526699720445085,dock_ir_link,0,0,0
1494526700934801497,55,1494526699741866512,dock_ir_link,0,0,0
1494526700934807587,56,1494526699759097387,dock_ir_link,0,0,0
1494526700934816568,57,1494526699779107200,dock_ir_link,0,0,0
1494526700934825077,58,1494526699798987722,dock_ir_link,0,0,0
1494526700934831364,59,1494526699819108243,dock_ir_link,0,0,0
1494526700934838884,60,1494526699840900793,dock_ir_link,0,0,0
1494526700934856591,61,1494526699860760732,dock_ir_link,0,0,0
1494526700934863044,62,1494526699879038474,dock_ir_link,0,0,0
1494526700934868974,63,1494526699899147495,dock_ir_link,0,0,0
1494526700934874728,64,1494526699919060475,dock_ir_link,0,0,0
1494526700934884874,65,1494526699939017830,dock_ir_link,0,0,0
1494526700934891140,66,1494526699959120350,dock_ir_link,0,0,0
1494526700934896957,67,1494526699980268363,dock_ir_link,0,0,0
1494526700934906537,68,1494526699999347933,dock_ir_link,0,0,0
1494526700934914219,69,1494526700019113123,dock_ir_link,0,0,0
1494526700934920453,70,1494526700040237386,dock_ir_link,0,0,0
1494526700934927595,71,1494526700059100374,dock_ir_link,0,0,0
1494526700934934364,72,1494526700079751307,dock_ir_link,0,0,0
1494526700934941832,73,1494526700100243158,dock_ir_link,0,0,0
1494526700934950402,74,1494526700120036848,dock_ir_link,0,0,0
1494526700934957561,75,1494526700138915419,dock_ir_link,0,0,0
1494526700934965057,76,1494526700158998273,dock_ir_link,0,0,0
1494526700934972341,77,1494526700179448749,dock_ir_link,0,0,0
1494526700934985083,78,1494526700198926316,dock_ir_link,0,0,0
1494526700934991222,79,1494526700220101246,dock_ir_link,0,0,0
1494526700934997488,80,1494526700240188308,dock_ir_link,0,0,0
1494526700935004724,81,1494526700260170996,dock_ir_link,0,0,0
1494526700935013489,82,1494526700280376349,dock_ir_link,0,0,0
1494526700935021168,83,1494526700300394245,dock_ir_link,0,0,0
1494526700935042907,84,1494526700319462565,dock_ir_link,0,0,0
1494526700935062669,85,1494526700339966875,dock_ir_link,0,0,0
1494526700935972879,86,1494526700367022220,dock_ir_link,0,0,0
1494526700935980605,87,1494526700380512163,dock_ir_link,0,0,0
1494526700935988889,88,1494526700400973140,dock_ir_link,0,0,0
1494526700935995382,89,1494526700422888105,dock_ir_link,0,0,0
1494526700936002085,90,1494526700440178813,dock_ir_link,0,0,0
1494526700936008547,91,1494526700460009711,dock_ir_link,0,0,0
1494526700936015033,92,1494526700479973982,dock_ir_link,0,0,0
1494526700936022208,93,1494526700500070794,dock_ir_link,0,0,0
1494526700936031024,94,1494526700520396147,dock_ir_link,0,0,0
1494526700936037653,95,1494526700545462298,dock_ir_link,0,0,0
1494526700936043144,96,1494526700560355148,dock_ir_link,0,0,0
1494526700936050754,97,1494526700580066005,dock_ir_link,0,0,0
1494526700936057302,98,1494526700601009644,dock_ir_link,0,0,0
1494526700936066319,99,1494526700620011631,dock_ir_link,0,0,0
1494526700936073328,100,1494526700640148235,dock_ir_link,0,0,0
1494526700936080714,101,1494526700660240797,dock_ir_link,0,0,0
1494526700936707906,102,1494526700680855397,dock_ir_link,0,0,0
1494526700936713882,103,1494526700700573337,dock_ir_link,0,0,0
1494526700936720734,104,1494526700720789316,dock_ir_link,0,0,0
1494526700936727763,105,1494526700740286632,dock_ir_link,0,0,0
1494526700936734327,106,1494526700760170113,dock_ir_link,0,0,0
1494526700936740454,107,1494526700779946761,dock_ir_link,0,0,0
1494526700936747159,108,1494526700800841025,dock_ir_link,0,0,0
1494526700936788895,109,1494526700820482299,dock_ir_link,0,0,0
1494526700937342811,110,1494526700842686013,dock_ir_link,0,0,0
1494526700937350951,111,1494526700859897138,dock_ir_link,0,0,0
1494526700937356078,112,1494526700880004742,dock_ir_link,0,0,0
1494526700937362032,113,1494526700900073596,dock_ir_link,0,0,0
1494526700937367347,114,1494526700919896202,dock_ir_link,0,0,0
1494526700937374165,115,1494526700939735849,dock_ir_link,0,0,0
1494526700937386074,116,1494526700960239534,dock_ir_link,0,0,0
1494526700937398387,117,1494526700980846717,dock_ir_link,0,0,0
1494526700937412774,118,1494526701001007988,dock_ir_link,0,0,0
1494526700937419183,119,1494526701020822135,dock_ir_link,0,0,0
1494526700937473152,120,1494526701040730616,dock_ir_link,0,0,0
1494526700937801480,121,1494526701062204876,dock_ir_link,0,0,0
1494526700937808328,122,1494526701079896331,dock_ir_link,0,0,0
1494526700937815862,123,1494526701100709013,dock_ir_link,0,0,0
1494526700938133448,124,1494526701120056706,dock_ir_link,0,0,0
1494526700938139779,125,1494526701140178226,dock_ir_link,0,0,0
1494526700938146225,126,1494526701159986082,dock_ir_link,0,0,0
1494526700938152361,127,1494526701180692348,dock_ir_link,0,0,0
1494526700938402794,128,1494526701200662703,dock_ir_link,0,0,0
1494526700938407838,129,1494526701220781807,dock_ir_link,0,0,0
1494526700938415529,130,1494526701240664288,dock_ir_link,0,0,0
1494526700938634420,131,1494526701263426539,dock_ir_link,0,0,0
1494526700938642596,132,1494526701281621865,dock_ir_link,0,0,0
1494526700938821264,133,1494526701300747476,dock_ir_link,0,0,0
1494526700938827924,134,1494526701320726206,dock_ir_link,0,0,0
1494526700938963275,135,1494526701340740144,dock_ir_link,0,0,0
1494526700939088396,136,1494526701360825206,dock_ir_link,0,0,0
1494526700939165196,137,1494526701381446723,dock_ir_link,0,0,0
1494526700939240628,138,1494526701402873317,dock_ir_link,0,0,0
1494526700939298319,139,1494526701420643396,dock_ir_link,0,0,0
1494526700951473861,140,1494526701440837291,dock_ir_link,0,0,0
1494526700973819890,141,1494526701460782771,dock_ir_link,0,0,0
1494526700989646012,142,1494526701480676794,dock_ir_link,0,0,0
1494526701014041882,143,1494526701503871625,dock_ir_link,0,0,0
1494526701030564661,144,1494526701520703169,dock_ir_link,0,0,0
1494526701051217350,145,1494526701541800516,dock_ir_link,0,0,0
1494526701071743407,146,1494526701561570164,dock_ir_link,0,0,0
1494526701092264642,147,1494526701580625526,dock_ir_link,0,0,0
1494526701111170540,148,1494526701600834629,dock_ir_link,0,0,0
1494526701136332330,149,1494526701622330889,dock_ir_link,0,0,0
1494526701370588224,150,1494526701640542965,dock_ir_link,0,0,0
1494526701370602096,151,1494526701660702110,dock_ir_link,0,0,0
1494526701370614361,152,1494526701681032546,dock_ir_link,0,0,0
1494526701370623883,153,1494526701700680778,dock_ir_link,0,0,0
