%time,field.data
1494450135451255314,Keyboard operation
1494450135451289480,idle
1494450135451549601,Keyboard operation
1494450180467592782,Safe reactive controller
1494450180666052431,idle
1494450180675757477,Keyboard operation
1494450181366321584,Safe reactive controller
1494450181666803224,idle
1494450181675564956,Keyboard operation
1494450181901444425,Safe reactive controller
1494450182165968453,idle
1494450182180952386,Keyboard operation
1494450182268400420,Safe reactive controller
1494450182666328562,idle
1494450182677744507,Keyboard operation
1494450182773319132,Safe reactive controller
1494450182966033615,idle
1494450182974824213,Keyboard operation
1494450183066768949,Safe reactive controller
1494450183766563026,idle
1494450183774713276,Keyboard operation
1494450183965556281,Safe reactive controller
1494450184469096422,idle
1494450184475190765,Keyboard operation
1494450184666537460,Safe reactive controller
1494450185165735459,idle
1494450185174303217,Keyboard operation
1494450185365614090,Safe reactive controller
1494450185966364135,idle
1494450185974705078,Keyboard operation
