%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1494450135451405149,476,1494450133695758938,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451415564,477,1494450133716670792,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451421742,478,1494450133735584205,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451427662,479,1494450133755661442,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451438172,480,1494450133775842260,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451455496,481,1494450133795845748,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451476867,482,1494450133816883642,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451484570,483,1494450133836531757,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451503508,484,1494450133856521911,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451519530,485,1494450133876471899,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451540891,486,1494450133896439969,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451551189,487,1494450133915528590,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451563954,488,1494450133937031688,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451574842,489,1494450133956432014,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451597666,490,1494450133976559208,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451611058,491,1494450133996463155,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451618938,492,1494450134016468434,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451629328,493,1494450134038690984,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451635934,494,1494450134056613157,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451662589,495,1494450134076506978,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451677539,496,1494450134096566215,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451686090,497,1494450134116397620,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451701649,498,1494450134136356233,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451707942,499,1494450134156430594,,wheel_left_joint,wheel_right_joint,0.0,0.0,0.0,0.0,0.0,0.0
1494450135451727328,500,1494450134176388874,,wheel_left_joint,wheel_right_joint,0.00974766723812,0.00974766723812,0.487383361906,0.487383361906,0.0,0.0
1494450135451740375,501,1494450134197484601,,wheel_left_joint,wheel_right_joint,0.0341168353334,0.0316799185239,1.21845840476,1.09661256429,0.0,0.0
1494450135451749676,502,1494450134216468347,,wheel_left_joint,wheel_right_joint,0.0463014193811,0.041427585762,0.609229202382,0.487383361906,0.0,0.0
1494450135451769301,503,1494450134236321711,,wheel_left_joint,wheel_right_joint,0.0560490866192,0.0511752530001,0.487383361906,0.487383361906,0.0,0.0
1494450135451777543,504,1494450134256758069,,wheel_left_joint,wheel_right_joint,0.0682336706668,0.0609229202382,0.609229202382,0.487383361906,0.0,0.0
1494450135451783950,505,1494450134276761598,,wheel_left_joint,wheel_right_joint,0.082855171524,0.0682336706668,0.731075042859,0.365537521429,0.0,0.0
1494450135451791008,506,1494450134296332005,,wheel_left_joint,wheel_right_joint,0.0974766723812,0.0852920883335,0.731075042859,0.852920883335,0.0,0.0
1494450135451806845,507,1494450134316324076,,wheel_left_joint,wheel_right_joint,0.114535090048,0.102350506,0.852920883335,0.852920883335,0.0,0.0
1494450135451814661,508,1494450134336388896,,wheel_left_joint,wheel_right_joint,0.129156590905,0.114535090048,0.731075042859,0.609229202382,0.0,0.0
1494450135451826914,509,1494450134356545465,,wheel_left_joint,wheel_right_joint,0.138904258143,0.126719674096,0.487383361906,0.609229202382,0.0,0.0
1494450135451838594,510,1494450134378692975,,wheel_left_joint,wheel_right_joint,0.148651925381,0.136467341334,0.487383361906,0.487383361906,0.0,0.0
1494450135451845681,511,1494450134397492139,,wheel_left_joint,wheel_right_joint,0.160836509429,0.148651925381,0.609229202382,0.609229202382,0.0,0.0
1494450135451865420,512,1494450134416647509,,wheel_left_joint,wheel_right_joint,0.173021093477,0.163273426238,0.609229202382,0.731075042859,0.0,0.0
1494450135451875035,513,1494450134436405915,,wheel_left_joint,wheel_right_joint,0.187642594334,0.177894927096,0.731075042859,0.731075042859,0.0,0.0
1494450135451885065,514,1494450134456325403,,wheel_left_joint,wheel_right_joint,0.199827178381,0.190079511143,0.609229202382,0.609229202382,0.0,0.0
1494450135451892549,515,1494450134477480255,,wheel_left_joint,wheel_right_joint,0.20713792881,0.199827178381,0.365537521429,0.487383361906,0.0,0.0
1494450135451901570,516,1494450134496523876,,wheel_left_joint,wheel_right_joint,0.219322512858,0.212011762429,0.609229202382,0.609229202382,0.0,0.0
