%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494450135451383320,0,0,0,0,0
1494450135451391590,0,0,0,0,0
1494450135451398983,0,0,0,0,0
1494450135451404716,0,0,0,0,0
1494450135451410918,0,0,0,0,0
1494450135451418319,0,0,0,0,0
1494450135451452080,0,0,0,0,0
1494450135451459266,0,0,0,0,0
1494450135451701603,0,0,0,0,0
1494450135451709219,0,0,0,0,0
1494450135451724546,0,0,0,0,0
1494450135451731877,0,0,0,0,0
1494450135451737996,0,0,0,0,0
1494450135451750899,0,0,0,0,0
1494450135451763249,0,0,0,0,0
1494450135451779008,0,0,0,0,0
1494450135451786913,0,0,0,0,0
1494450135451794426,0,0,0,0,0
1494450135451808969,0,0,0,0,0
1494450135451815879,0,0,0,0,0
1494450135451827602,0,0,0,0,0
1494450135451836191,0,0,0,0,0
1494450135451851176,0,0,0,0,0
1494450135451864297,0,50,0,50,0
1494450135451879930,0,50,0,50,0
1494450135451889621,0,50,0,50,0
1494450135451907449,0,50,0,50,0
1494450135451915925,0,50,0,50,0
1494450135451927514,0,50,0,50,0
1494450135451938494,0,50,0,50,0
1494450135451946709,0,50,0,50,0
1494450135451959592,0,50,0,50,0
1494450135451972269,0,50,0,50,0
1494450135451983603,0,50,0,50,0
1494450135451995458,0,50,0,50,0
1494450135452005061,0,50,0,50,0
1494450135452020041,0,50,0,50,0
1494450135452038076,0,50,0,50,0
1494450135452044510,0,50,0,50,0
1494450135452054294,0,50,0,50,0
1494450135452060759,0,50,0,50,0
1494450135452071385,0,50,0,50,0
1494450135452084167,0,50,0,50,0
1494450135452098469,0,50,0,50,0
1494450135452104561,0,50,0,50,0
1494450135452115296,0,50,0,50,0
1494450135452125359,0,50,0,50,0
1494450135452134541,0,50,0,50,0
1494450135452142756,0,50,0,50,0
1494450135452151815,0,50,0,50,0
1494450135452159793,0,50,0,50,0
1494450135452169359,0,50,0,50,0
1494450135452181739,0,50,0,50,0
1494450135452197576,0,50,0,50,0
1494450135452209963,0,50,0,50,0
1494450135452216310,0,50,0,50,0
1494450135452221683,0,50,0,50,0
