%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.instance_id,field.active,field.heartbeat_timeout,field.heartbeat_period
1494450135520517340,10,1494450135575843942,,/mobile_base_42a672ed-1deb-4e4c-990c-1c60891eff2e,5fe201b6-0e33-4586-bdbb-3a06dedcd6aa,1,4.0,1.0
1494450135684730706,30,1494450135735988256,,/kobuki_safety_controller_8fd8deea-d982-4389-b1a0-e78970efbd97,bdce96b2-fed1-42b6-8c58-28b28baaebb6,1,4.0,1.0
1494450135850557623,6,1494450135906531976,,/kobuki_safety_controller_8fd8deea-d982-4389-b1a0-e78970efbd97,7e691695-e3f1-4c21-bfd8-2fa2627062c4,1,4.0,1.0
1494450136094468087,31,1494450136145751789,,/keyop_vel_smoother_1c4c8f77-2701-4e79-8e4a-337f5772753e,746ba034-66c2-48e9-a62f-70c49b797af0,1,4.0,1.0
1494450136155459042,6,1494450136211791906,,/keyop_vel_smoother_1c4c8f77-2701-4e79-8e4a-337f5772753e,21bd5465-816b-4ae0-9d9f-781066196e5f,1,4.0,1.0
1494450136257090880,32,1494450136311410637,,/cmd_vel_mux_1b048a92-d775-4cf6-94e6-6273f69e5f0b,4e30b056-4db4-4b90-84a8-eb140f9b03f9,1,4.0,1.0
1494450136356638227,33,1494450136410028962,,/mobile_base_42a672ed-1deb-4e4c-990c-1c60891eff2e,2cff6056-892b-4e9a-b052-cde731698faf,1,4.0,1.0
1494450136394425821,7,1494450136448034579,,/cmd_vel_mux_1b048a92-d775-4cf6-94e6-6273f69e5f0b,203f2be6-92be-4791-b69f-46aa334944c9,1,4.0,1.0
1494450136524962693,11,1494450136578430702,,/mobile_base_42a672ed-1deb-4e4c-990c-1c60891eff2e,5fe201b6-0e33-4586-bdbb-3a06dedcd6aa,1,4.0,1.0
1494450136680934929,34,1494450136735825749,,/kobuki_safety_controller_8fd8deea-d982-4389-b1a0-e78970efbd97,bdce96b2-fed1-42b6-8c58-28b28baaebb6,1,4.0,1.0
1494450136853237602,7,1494450136909150570,,/kobuki_safety_controller_8fd8deea-d982-4389-b1a0-e78970efbd97,7e691695-e3f1-4c21-bfd8-2fa2627062c4,1,4.0,1.0
1494450137091113545,35,1494450137145459493,,/keyop_vel_smoother_1c4c8f77-2701-4e79-8e4a-337f5772753e,746ba034-66c2-48e9-a62f-70c49b797af0,1,4.0,1.0
1494450137157614018,7,1494450137214231669,,/keyop_vel_smoother_1c4c8f77-2701-4e79-8e4a-337f5772753e,21bd5465-816b-4ae0-9d9f-781066196e5f,1,4.0,1.0
1494450137257713751,36,1494450137311603879,,/cmd_vel_mux_1b048a92-d775-4cf6-94e6-6273f69e5f0b,4e30b056-4db4-4b90-84a8-eb140f9b03f9,1,4.0,1.0
1494450137355209484,37,1494450137410379286,,/mobile_base_42a672ed-1deb-4e4c-990c-1c60891eff2e,2cff6056-892b-4e9a-b052-cde731698faf,1,4.0,1.0
