%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1494450135451381536,19,1494450133434378342,,2,/record_1494450130356641362,Subscribing to /rosout,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135451389719,20,1494450133497316344,,2,/record_1494450130356641362,Subscribing to /mobile_base/debug/raw_data_command,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135451400424,21,1494450133557584313,,2,/record_1494450130356641362,Subscribing to /mobile_base/sensors/imu_data_raw,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135451407574,22,1494450133600051095,,2,/record_1494450130356641362,Subscribing to /mobile_base/sensors/dock_ir,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135451416776,17,1494450132966395403,,4,/mobile_base_nodelet_manager,Kobuki : Incoming velocity commands not received for more than 0.60 seconds -> zero'ing velocity commands,/tmp/buildd/ros-indigo-kobuki-node-0.6.5-0trusty-20141204-0359/src/library/kobuki_ros.cpp,KobukiRos::update,262,/rosout,/tf,/diagnostics,/joint_states,/mobile_base/version_info,/mobile_base/controller_info,/mobile_base/events/button,/mobile_base/events/bumper,/mobile_base/events/cliff,/mobile_base/events/wheel_drop,/mobile_base/events/power_system,/mobile_base/events/digital_input,/mobile_base/events/robot_state,/mobile_base/sensors/core,/mobile_base/sensors/dock_ir,/mobile_base/sensors/imu_data,/mobile_base/sensors/imu_data_raw,/mobile_base/debug/raw_data_command,/mobile_base/debug/raw_data_stream,/mobile_base/debug/raw_control_command,/odom,/mobile_base_nodelet_manager/bond,/cmd_vel_mux/parameter_descriptions,/cmd_vel_mux/parameter_updates,/mobile_base/commands/velocity,/cmd_vel_mux/active,/cmd_vel_mux/safety_controller,/keyop_vel_smoother/parameter_descriptions,/keyop_vel_smoother/parameter_updates,/cmd_vel_mux/keyboard_teleop
1494450135451432719,2,1494450123209859747,,2,/mobile_base,/mobile_base/enable -> /enable,/tmp/buildd/ros-indigo-nodelet-1.9.2-0trusty-20141125-0615/src/nodelet.cpp,loadNodelet,201,/rosout
1494450135451471539,4,1494450128157448257,,2,/kobuki_safety_controller,/kobuki_safety_controller/events/wheel_drop -> /mobile_base/events/wheel_drop,/tmp/buildd/ros-indigo-nodelet-1.9.2-0trusty-20141125-0615/src/nodelet.cpp,loadNodelet,201,/rosout
1494450135451495129,1,1494450127875509295,,2,/cmd_vel_mux,/cmd_vel_mux/output -> /mobile_base/commands/velocity,/tmp/buildd/ros-indigo-nodelet-1.9.2-0trusty-20141125-0615/src/nodelet.cpp,loadNodelet,201,/rosout
1494450135451514371,6,1494450132074233166,,4,/keyop,KeyOp: Device has already been powered up.,/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::enable,396,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450135451537386,3,1494450128450754327,,2,/keyop_vel_smoother,/keyop_vel_smoother/smooth_cmd_vel -> /cmd_vel_mux/keyboard_teleop,/tmp/buildd/ros-indigo-nodelet-1.9.2-0trusty-20141125-0615/src/nodelet.cpp,loadNodelet,201,/rosout
1494450135451965453,23,1494450133663073686,,2,/record_1494450130356641362,Subscribing to /rosout_agg,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452041583,24,1494450133707815849,,2,/record_1494450130356641362,Subscribing to /mobile_base/events/bumper,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452068090,25,1494450133765005780,,2,/record_1494450130356641362,Subscribing to /cmd_vel_mux/keyboard_teleop,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452104216,26,1494450133811700409,,2,/record_1494450130356641362,Subscribing to /mobile_base/commands/velocity,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452117614,27,1494450133867209813,,2,/record_1494450130356641362,Subscribing to /diagnostics_toplevel_state,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452139213,28,1494450133912742590,,2,/record_1494450130356641362,Subscribing to /mobile_base/controller_info,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135452156687,7,1494450134009812285,,2,/keyop,KeyOp: linear  velocity incremented [0.05|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450135452177893,8,1494450134794092830,,2,/keyop,KeyOp: linear  velocity incremented [0.1|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450135452214203,9,1494450135009995935,,2,/keyop,KeyOp: linear  velocity incremented [0.15|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450135452607451,29,1494450135035312468,,2,/record_1494450130356641362,Subscribing to /mobile_base/commands/motor_power,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135455610991,30,1494450135104806425,,2,/record_1494450130356641362,Subscribing to /mobile_base/events/cliff,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135456007151,31,1494450135155094568,,2,/record_1494450130356641362,Subscribing to /keyop_vel_smoother/raw_cmd_vel,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135456014027,32,1494450135212004922,,2,/record_1494450130356641362,Subscribing to /mobile_base/sensors/imu_data,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135456198112,33,1494450135257170061,,2,/record_1494450130356641362,Subscribing to /mobile_base_nodelet_manager/bond,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135456318232,34,1494450135325787558,,2,/record_1494450130356641362,Subscribing to /mobile_base/version_info,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135456410771,35,1494450135385184128,,2,/record_1494450130356641362,Subscribing to /diagnostics_agg,/tmp/binarydeb/ros-indigo-rosbag-1.11.20/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,209,/rosout
1494450135519623087,10,1494450135575822068,,2,/keyop,KeyOp: linear  velocity incremented [0.2|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450136050685188,11,1494450136105936938,,2,/keyop,KeyOp: linear  velocity incremented [0.25|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450136654136667,12,1494450136710574100,,2,/keyop,KeyOp: linear  velocity incremented [0.3|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450141439534748,13,1494450141495487374,,2,/keyop,KeyOp: linear  velocity decremented [0.25|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450141617428515,14,1494450141670719389,,2,/keyop,KeyOp: linear  velocity decremented [0.2|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450141866057329,15,1494450141922413596,,2,/keyop,KeyOp: linear  velocity decremented [0.15|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450142242133066,16,1494450142298170819,,2,/keyop,KeyOp: linear  velocity incremented [0.2|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450142409934819,17,1494450142464683705,,2,/keyop,KeyOp: linear  velocity incremented [0.25|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450142598078854,18,1494450142653923763,,2,/keyop,KeyOp: linear  velocity incremented [0.3|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450143334314562,19,1494450143389606602,,2,/keyop,KeyOp: linear  velocity decremented [0.25|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450143492656597,20,1494450143548337100,,2,/keyop,KeyOp: linear  velocity decremented [0.2|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450143678540844,21,1494450143733982941,,2,/keyop,KeyOp: linear  velocity decremented [0.15|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450143898132794,22,1494450143954571177,,2,/keyop,KeyOp: linear  velocity decremented [0.1|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450144095676332,23,1494450144151839623,,2,/keyop,KeyOp: linear  velocity decremented [0.05|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450145191428442,24,1494450145247832207,,2,/keyop,KeyOp: linear  velocity decremented [1.38778e-17|0],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementLinearVelocity,430,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450145739374860,25,1494450145794732406,,2,/keyop,KeyOp: angular velocity decremented [1.38778e-17|-0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450146159851360,26,1494450146215957228,,2,/keyop,KeyOp: angular velocity decremented [1.38778e-17|-0.66],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450146713764485,27,1494450146769213581,,2,/keyop,KeyOp: angular velocity decremented [1.38778e-17|-0.99],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450148117998404,28,1494450148174287002,,2,/keyop,KeyOp: angular velocity incremented [1.38778e-17|-0.66],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450148689986895,29,1494450148742612433,,2,/keyop,KeyOp: angular velocity incremented [1.38778e-17|-0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450149310707910,30,1494450149367058074,,2,/keyop,KeyOp: angular velocity incremented [1.38778e-17|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450149526966613,31,1494450149583268271,,2,/keyop,KeyOp: angular velocity incremented [1.38778e-17|0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450150035748462,32,1494450150092154193,,2,/keyop,KeyOp: angular velocity decremented [1.38778e-17|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450150501029691,33,1494450150553744246,,2,/keyop,KeyOp: linear  velocity incremented [0.05|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450150668482814,34,1494450150725005512,,2,/keyop,KeyOp: linear  velocity incremented [0.1|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450150822673780,35,1494450150877712651,,2,/keyop,KeyOp: linear  velocity incremented [0.15|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450150999143985,36,1494450151055524733,,2,/keyop,KeyOp: linear  velocity incremented [0.2|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450151148635710,37,1494450151199993405,,2,/keyop,KeyOp: linear  velocity incremented [0.25|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450151293799257,38,1494450151350255941,,2,/keyop,KeyOp: linear  velocity incremented [0.3|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450151575495597,39,1494450151631498270,,2,/keyop,KeyOp: linear  velocity incremented [0.35|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450151851162704,40,1494450151907039815,,2,/keyop,KeyOp: linear  velocity incremented [0.4|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementLinearVelocity,411,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450153791306347,41,1494450153848011745,,2,/keyop,KeyOp: angular velocity incremented [0.4|0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450154099399691,42,1494450154155754007,,2,/keyop,KeyOp: angular velocity incremented [0.4|0.66],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::incrementAngularVelocity,449,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450154821550180,43,1494450154873789744,,2,/keyop,KeyOp: angular velocity decremented [0.4|0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450155242404715,44,1494450155296216945,,2,/keyop,KeyOp: angular velocity decremented [0.4|1.11022e-16],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
1494450155404205019,45,1494450155460684775,,2,/keyop,KeyOp: angular velocity decremented [0.4|-0.33],/tmp/buildd/ros-indigo-kobuki-keyop-0.6.5-0trusty-20141202-0955/src/keyop_core.cpp,KeyOpCore::decrementAngularVelocity,468,/rosout,/keyop_vel_smoother/raw_cmd_vel,/mobile_base/commands/motor_power
