%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1494449915699469961,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915699501547,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915700834072,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915775538162,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915875889412,0.0,0.0,0.0,0.0,0.0,-0.33
1494449915976157316,0.0,0.0,0.0,0.0,0.0,-0.33
1494449916075402256,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916175294681,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916275322945,0.0,0.0,0.0,0.0,0.0,-0.66
1494449916375164052,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916475235205,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916575270650,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916675458998,0.0,0.0,0.0,0.0,0.0,-0.99
1494449916775004063,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916875406681,0.0,0.0,0.0,0.0,0.0,-1.32
1494449916975638480,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917074918876,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917175255240,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917274817907,0.0,0.0,0.0,0.0,0.0,-1.32
1494449917374985320,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917475574970,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917575375523,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917675156631,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917777885063,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917879346884,0.0,0.0,0.0,0.0,0.0,-0.99
1494449917979553830,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918076232772,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918175003136,0.0,0.0,0.0,0.0,0.0,-0.66
1494449918275303826,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918376436855,0.0,0.0,0.0,0.0,0.0,-0.33
1494449918478754967,0.0,0.0,0.0,0.0,0.0,-0.33
