%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494449908775205870,0,0,0,0,0
1494449908775214664,0,0,0,0,0
1494449908775222295,0,0,0,0,0
1494449908775233626,0,0,0,0,0
1494449908775241564,0,0,0,0,0
1494449908775251738,0,0,0,0,0
1494449908775269955,0,0,0,0,0
1494449908775276365,0,0,0,0,0
1494449908775289087,0,0,0,0,0
1494449908775296783,0,0,0,0,0
1494449908775311855,0,0,0,0,0
1494449908775333485,0,0,0,0,0
1494449908775350908,0,0,0,0,0
1494449908775366571,0,0,0,0,0
1494449908776795067,0,0,0,0,0
1494449908776817737,0,0,0,0,0
1494449908776830605,0,0,0,0,0
1494449908776847497,0,0,0,0,0
1494449908776860161,0,0,0,0,0
1494449908776889982,0,0,0,0,0
1494449908776914014,0,0,0,0,0
1494449908776930895,0,0,0,0,0
1494449908776948618,0,0,0,0,0
1494449908776964733,0,0,0,0,0
1494449908776975501,0,0,0,0,0
1494449908776994107,0,0,0,0,0
1494449908777016829,0,0,0,0,0
1494449908777039844,0,0,0,0,0
1494449908777053857,0,0,0,0,0
1494449908777063289,0,0,0,0,0
1494449908777078376,0,0,0,0,0
1494449908777094152,0,0,0,0,0
1494449908777105632,0,0,0,0,0
1494449908777119311,0,0,0,0,0
1494449908777134441,0,0,0,0,0
1494449908777151229,0,0,0,0,0
1494449908777169110,0,0,0,0,0
1494449908777179538,0,0,0,0,0
1494449908777187175,0,0,0,0,0
1494449908777199550,0,0,0,0,0
1494449908777214646,0,0,0,0,0
1494449908777225876,0,0,0,0,0
1494449908777233935,0,0,0,0,0
1494449908777257552,0,0,0,0,0
1494449908777273244,0,0,0,0,0
1494449908777839058,0,0,0,0,0
1494449908798029452,0,0,0,0,0
1494449908818354895,0,0,0,0,0
1494449908836660137,0,0,0,0,0
1494449908860352342,0,0,0,0,0
1494449908876716677,0,0,0,0,0
1494449908896015327,0,0,0,0,0
1494449908918265402,0,0,0,0,0
1494449908937768404,0,0,0,0,0
1494449908958793652,0,0,0,0,0
1494449908977100346,0,0,0,0,0
1494449908996533577,0,0,0,0,0
1494449909016567449,0,0,0,0,0
1494449909036882999,0,0,0,0,0
1494449909060113523,0,0,0,0,0
1494449909078588342,0,0,0,0,0
1494449909097505819,0,0,0,0,0
1494449909117086217,0,0,0,0,0
1494449909139326627,0,0,0,0,0
1494449909158505073,0,0,0,0,0
1494449909193525342,0,0,0,0,0
1494449909197188624,0,0,0,0,0
1494449909217344008,0,0,0,0,0
1494449909243074157,0,0,0,0,0
1494449909256877582,0,0,0,0,0
1494449909277690525,0,0,0,0,0
1494449909299561416,0,0,0,0,0
1494449909318756386,0,0,0,0,0
1494449909342324953,0,0,0,0,0
1494449909359040516,0,0,0,0,0
1494449909379304455,0,0,0,0,0
1494449909396960059,0,0,0,0,0
1494449909418149608,0,0,0,0,0
1494449909438371581,0,0,0,0,0
1494449909486416435,0,0,0,0,0
1494449909491268887,0,0,0,0,0
1494449909496894633,0,0,0,0,0
1494449909735340566,0,0,0,0,0
1494449909735440703,0,0,0,0,0
1494449909735478442,0,0,0,0,0
1494449909735585662,0,0,0,0,0
1494449909735628196,0,0,0,0,0
1494449909735638096,0,0,0,0,0
1494449909735644957,0,0,0,0,0
1494449909735667156,0,0,0,0,0
1494449909735684328,0,0,0,0,0
1494449909735693479,0,0,0,0,0
1494449909735721373,0,0,0,0,0
1494449909751472101,0,0,0,0,0
1494449909759350713,0,0,0,0,0
1494449909777183578,0,0,0,0,0
1494449909796533187,0,0,0,0,0
1494449909816785330,0,0,0,0,0
1494449909837977894,0,0,0,0,0
1494449909860600406,0,0,0,0,0
1494449909878591175,0,0,0,0,0
1494449909899531249,0,0,0,0,0
1494449909918729521,0,0,0,0,0
1494449909937864427,0,0,0,0,0
1494449909957507534,0,0,0,0,0
1494449909977942761,0,0,0,0,0
1494449909997066500,0,0,0,0,0
1494449910017881033,0,0,0,0,0
1494449910045216373,0,0,0,0,0
1494449910058796003,0,0,0,0,0
1494449910077769723,0,0,0,0,0
1494449910098127459,0,0,0,0,0
1494449910118265183,0,0,0,0,0
1494449910138145550,0,0,0,0,0
1494449910158029921,0,0,0,0,0
1494449910178178111,0,0,0,0,0
1494449910198943718,0,0,0,0,0
1494449910217832930,0,0,0,0,0
1494449910239753122,0,0,0,0,0
1494449910262611401,0,0,0,0,0
1494449910281242732,0,0,0,0,0
1494449910299866908,0,0,0,0,0
1494449910317584078,0,0,0,0,0
1494449910339690892,0,0,0,0,0
1494449910358191327,0,0,0,0,0
1494449910378657999,0,0,0,0,0
1494449910404428957,0,0,0,0,0
1494449910421778995,0,0,0,0,0
1494449910441446355,0,0,0,0,0
1494449910460742226,0,0,0,0,0
1494449910482413943,0,0,0,0,0
1494449910505787515,0,0,0,0,0
1494449910524295806,0,0,0,0,0
1494449910542591688,0,0,0,0,0
1494449910559834873,0,0,0,0,0
1494449910579335431,0,0,0,0,0
1494449910601438024,0,0,0,0,0
1494449910619036514,0,0,0,0,0
1494449910638734788,0,0,0,0,0
1494449910664738280,0,0,0,0,0
1494449910679754132,0,0,0,0,0
1494449910704011305,0,0,0,0,0
1494449910720005045,0,0,0,0,0
1494449910742945575,0,0,0,0,0
1494449910758759050,0,0,0,0,0
1494449910779077137,0,0,0,0,0
1494449910800118721,0,0,0,0,0
1494449910818268645,0,0,0,0,0
1494449910837739435,0,0,0,0,0
