,labels,time,vleft,vright,vw,vx
0,False,0.0,4.881,5.0725,0.029515,0.17419
1,False,0.005,5.0349,4.8936,-0.021782,0.17375
2,False,0.01,4.9298,4.911,-0.0029004,0.17221
3,False,0.015,4.7634,4.8277,0.0099124,0.16784
4,False,0.02,5.0002,4.9438,-0.0086926,0.17402
5,False,0.025,5.1635,5.1979,0.0052977,0.18132
6,False,0.03,4.8795,5.1939,0.048475,0.17628
7,False,0.035,4.7729,4.9468,0.026807,0.1701
8,False,0.04,4.8732,5.0877,0.033072,0.17432
9,False,0.045,5.0804,4.8761,-0.031494,0.17424
10,False,0.05,4.9147,5.225,0.047842,0.17744
11,True,0.055,5.2269,5.0623,-0.025378,0.18006
12,False,0.06,4.7565,4.8535,0.014952,0.16817
13,False,0.065,5.109,4.8048,-0.046904,0.17349
14,False,0.07,4.9456,5.0329,0.01347,0.17462
15,False,0.075,4.7668,4.8872,0.018566,0.16894
16,False,0.08,4.953,4.7856,-0.025814,0.17043
17,False,0.085,5.1082,4.8292,-0.043007,0.1739
18,False,0.09,5.2107,4.7748,-0.06721,0.17474
19,False,0.095,5.242,5.0904,-0.023369,0.18082
20,False,0.1,5.2417,5.1409,-0.015547,0.1817
21,False,0.105,5.1982,5.1537,-0.0068567,0.18116
22,False,0.11,5.1829,4.8825,-0.046306,0.17614
23,False,0.115,5.1505,5.1979,0.007319,0.1811
24,False,0.12,5.0275,5.054,0.0040865,0.17643
25,False,0.125,4.9594,4.7572,-0.031182,0.17004
26,False,0.13,4.8136,4.922,0.016722,0.17037
27,False,0.135,5.0773,5.0168,-0.0093248,0.17665
28,False,0.14,5.182,5.0639,-0.018209,0.1793
29,False,0.145,4.8873,4.9734,0.013271,0.17256
30,False,0.15,5.1701,5.1556,-0.0022402,0.1807
31,False,0.155,4.7854,4.8224,0.0057105,0.16814
32,False,0.16,4.9394,5.2374,0.04595,0.17809
33,False,0.165,4.8841,5.1669,0.043603,0.17589
34,False,0.17,4.8265,4.9201,0.01443,0.17056
